# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
79.0000, 69.0000, 0.2591, 0.0000, 0.2053, 0.0000, 0.2335, 0.0000, 0.0121, 0.0082, 0.0184, 0.0235, 0.1341, 0.0790
75.0000, 70.0000, 0.2550, 0.0000, 0.2409, 0.0000, 0.2380, 0.0000, 0.0113, 0.0080, 0.0152, 0.0151, 0.0836, 0.0784
78.0000, 71.0000, 0.3130, 0.0000, 0.2290, 0.0000, 0.2285, 0.0000, 0.0104, 0.0086, 0.0407, 0.0440, 0.1259, 0.1272
77.0000, 69.0000, 0.3055, 0.0000, 0.2370, 0.0000, 0.2363, 0.0000, 0.0080, 0.0081, 0.0119, 0.0125, 0.0823, 0.0804
76.0000, 70.0000, 0.3196, 0.0000, 0.2316, 0.0000, 0.2329, 0.0000, 0.0096, 0.0082, 0.0307, 0.0331, 0.0820, 0.0784
75.0000, 68.0000, 0.2828, 0.0000, 0.2451, 0.0000, 0.2436, 0.0000, 0.0085, 0.0081, 0.0038, 0.0041, 0.0825, 0.0790
75.0000, 69.0000, 0.3254, 0.0000, 0.2361, 0.0000, 0.2346, 0.0000, 0.0087, 0.0082, 0.0206, 0.0222, 0.0813, 0.0803
-1.0000, 61.0000, 0.2907, 0.0000, 0.2090, 0.0000, 0.2289, 0.0000, 0.0124, 0.0096, 0.0335, 0.0377, 0.0843, 0.1420
69.0000, 62.0000, 0.2991, 0.0000, 0.2215, 0.0000, 0.2350, 0.0000, 0.0120, 0.0090, 0.0102, 0.0109, 0.0847, 0.0786
70.0000, 63.0000, 0.3049, 0.0000, 0.2348, 0.0000, 0.2362, 0.0000, 0.0114, 0.0089, 0.0292, 0.0313, 0.0827, 0.0798
68.0000, 61.0000, 0.2991, 0.0000, 0.2161, 0.0000, 0.2349, 0.0000, 0.0119, 0.0092, 0.0211, 0.0270, 0.0815, 0.0820
68.0000, 61.0000, 0.3126, 0.0000, 0.2369, 0.0000, 0.2359, 0.0000, 0.0108, 0.0091, 0.0212, 0.0224, 0.0803, 0.0836
67.0000, 60.0000, 0.2993, 0.0000, 0.2308, 0.0000, 0.2390, 0.0000, 0.0104, 0.0092, 0.0116, 0.0133, 0.0844, 0.0798
67.0000, 61.0000, 0.3194, 0.0000, 0.2398, 0.0000, 0.2386, 0.0000, 0.0100, 0.0091, 0.0128, 0.0135, 0.0801, 0.0811
