# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0090, 0.0088
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0075, 0.0077
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0074, 0.0076
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0072, 0.0075
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0073, 0.0075
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0074, 0.0075
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0074, 0.0075
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0075, 0.0077
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0077, 0.0080
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0081, 0.0084
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0077, 0.0080
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0081, 0.0083
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0089, 0.0090
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0076, 0.0079
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0077, 0.0079
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0077, 0.0079
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0078, 0.0080
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0078, 0.0080
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0082, 0.0084
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0078, 0.0080
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0075, 0.0078
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0076, 0.0078
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0075, 0.0077
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0076, 0.0078
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0080, 0.0083
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0079, 0.0081
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0078, 0.0081
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0079, 0.0081
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0078, 0.0081
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0079, 0.0083
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0078, 0.0080
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0077, 0.0080
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0078, 0.0080
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0075, 0.0078
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0078, 0.0080
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0079, 0.0082
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0116, 0.0121
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0136, 0.0141
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0105, 0.0107
-1.0000, -1.0000, 0.1698, 1.0000, 0.1906, 1.0000, 0.1413, 1.0000, 0.0064, 0.0061, 0.0161, 0.0644, 0.0079, 0.0082
