# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0090, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0074, 0.0073
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0073, 0.0073
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0076, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0073
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0074, 0.0074
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0071, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0074, 0.0074
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0073, 0.0074
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0073
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0075, 0.0074
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0074, 0.0074
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0075, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0074, 0.0074
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0075, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0075, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0075, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0075, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0075, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0075, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0073, 0.0073
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0074, 0.0076
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0073
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0073
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0073, 0.0074
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0071, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0073, 0.0073
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0072, 0.0072
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0073, 0.0073
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0073, 0.0074
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0074, 0.0074
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0075, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0074, 0.0075
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0071, 0.0071
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0069, 0.0069
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0070, 0.0071
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0070, 0.0071
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0071, 0.0071
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0069, 0.0070
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0069, 0.0070
-1.0000, -1.0000, 0.1992, 1.0000, 0.2295, 0.0000, 0.1631, 1.0000, 0.0065, 0.0105, 0.0205, 0.0456, 0.0070, 0.0071
