# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0086, 0.0074
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0073, 0.0074
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0073, 0.0074
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0076, 0.0076
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0078, 0.0079
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0074, 0.0075
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0074, 0.0074
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0074, 0.0075
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0074, 0.0074
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0074, 0.0075
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0074, 0.0074
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0074, 0.0075
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0074, 0.0075
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0074, 0.0074
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0076, 0.0077
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0076, 0.0076
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0076, 0.0076
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0077, 0.0077
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0077, 0.0078
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0079, 0.0078
60.0000, 69.0000, 0.2773, 0.0000, 0.2345, 0.0000, 0.2109, 0.0000, 0.0044, 0.0071, 0.0121, 0.0091, 0.0076, 0.0076
