# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
82.0000, -1.0000, 0.1962, 1.0000, 0.1700, 1.0000, 0.2059, 0.0000, 0.0085, 0.0073, 0.0206, 0.0167, 0.0086, 0.0073
76.0000, 88.0000, 0.3220, 0.0000, 0.1771, 1.0000, 0.2208, 0.0000, 0.0079, 0.0084, 0.0432, 0.0696, 0.0074, 0.0074
74.0000, 85.0000, 0.2891, 0.0000, 0.2078, 0.0000, 0.1756, 1.0000, 0.0081, 0.0086, 0.0749, 0.1260, 0.0073, 0.0073
75.0000, 81.0000, 0.3130, 0.0000, 0.2158, 0.0000, 0.2086, 0.0000, 0.0079, 0.0082, 0.0356, 0.0715, 0.0074, 0.0075
70.0000, 81.0000, 0.3348, 0.0000, 0.2094, 0.0000, 0.1890, 1.0000, 0.0081, 0.0083, 0.0824, 0.1267, 0.0077, 0.0076
77.0000, 81.0000, 0.3145, 0.0000, 0.1885, 1.0000, 0.1483, 1.0000, 0.0077, 0.0081, 0.0746, 0.1258, 0.0079, 0.0078
72.0000, 81.0000, 0.3064, 0.0000, 0.2173, 0.0000, 0.1892, 1.0000, 0.0081, 0.0080, 0.0931, 0.1377, 0.0081, 0.0080
76.0000, 86.0000, 0.2027, 0.0000, 0.1909, 1.0000, 0.1850, 1.0000, 0.0080, 0.0082, 0.0552, 0.0323, 0.0079, 0.0080
74.0000, -1.0000, 0.2209, 0.0000, 0.0319, 1.0000, 0.1793, 1.0000, 0.0092, 0.0081, 0.1508, 0.0516, 0.0096, 0.0084
74.0000, -1.0000, 0.2650, 0.0000, 0.0263, 1.0000, 0.1974, 1.0000, 0.0090, 0.0078, 0.2182, 0.0906, 0.0084, 0.0084
75.0000, 83.0000, 0.2000, 1.0000, 0.1737, 1.0000, 0.2017, 0.0000, 0.0092, 0.0071, 0.0281, 0.0128, 0.0084, 0.0083
65.0000, 79.0000, 0.3582, 0.0000, 0.1541, 1.0000, 0.2208, 0.0000, 0.0090, 0.0092, 0.0626, 0.0811, 0.0083, 0.0084
73.0000, 68.0000, 0.1972, 1.0000, 0.1760, 1.0000, 0.1853, 1.0000, 0.0088, 0.0087, 0.0581, 0.0702, 0.0083, 0.0085
69.0000, 75.0000, 0.1993, 1.0000, 0.0674, 1.0000, 0.1301, 1.0000, 0.0086, 0.0094, 0.0854, 0.0767, 0.0084, 0.0084
81.0000, -1.0000, 0.2010, 0.0000, 0.1897, 1.0000, 0.2174, 0.0000, 0.0080, 0.0077, 0.0242, 0.0083, 0.0082, 0.0082
74.0000, -1.0000, 0.3150, 0.0000, 0.1736, 1.0000, 0.2322, 0.0000, 0.0079, 0.0082, 0.0430, 0.0623, 0.0082, 0.0082
74.0000, 87.0000, 0.2869, 0.0000, 0.2092, 0.0000, 0.1924, 1.0000, 0.0078, 0.0082, 0.0668, 0.1196, 0.0082, 0.0082
77.0000, 82.0000, 0.2821, 0.0000, 0.2189, 0.0000, 0.2146, 0.0000, 0.0079, 0.0082, 0.0311, 0.0649, 0.0082, 0.0083
69.0000, 82.0000, 0.3287, 0.0000, 0.2059, 0.0000, 0.1882, 1.0000, 0.0083, 0.0086, 0.0779, 0.1224, 0.0082, 0.0083
76.0000, 75.0000, 0.2049, 0.0000, 0.2162, 0.0000, 0.1099, 1.0000, 0.0097, 0.0081, 0.0952, 0.1385, 0.0082, 0.0083
73.0000, 85.0000, 0.2960, 0.0000, 0.2004, 0.0000, 0.1756, 1.0000, 0.0082, 0.0083, 0.0906, 0.1351, 0.0083, 0.0084
76.0000, 80.0000, 0.2228, 0.0000, 0.2065, 0.0000, 0.2036, 0.0000, 0.0078, 0.0092, 0.0630, 0.0445, 0.0083, 0.0083
81.0000, -1.0000, 0.1890, 1.0000, 0.1460, 1.0000, 0.2013, 0.0000, 0.0082, 0.0077, 0.0921, 0.0632, 0.0083, 0.0084
75.0000, -1.0000, 0.2559, 0.0000, 0.0447, 1.0000, 0.2259, 0.0000, 0.0090, 0.0079, 0.1636, 0.1006, 0.0084, 0.0084
73.0000, 82.0000, 0.2011, 0.0000, 0.1932, 1.0000, 0.2120, 0.0000, 0.0091, 0.0079, 0.0307, 0.0038, 0.0083, 0.0083
61.0000, 79.0000, 0.3610, 0.0000, 0.1922, 1.0000, 0.2245, 0.0000, 0.0093, 0.0094, 0.0579, 0.0740, 0.0083, 0.0084
60.0000, 69.0000, 0.3257, 0.0000, 0.2310, 0.0000, 0.1979, 1.0000, 0.0096, 0.0089, 0.0314, 0.0693, 0.0083, 0.0084
60.0000, 68.0000, 0.3743, 0.0000, 0.2427, 0.0000, 0.1573, 1.0000, 0.0093, 0.0091, 0.0340, 0.1053, 0.0084, 0.0084
78.0000, 78.0000, 0.2013, 0.0000, 0.1924, 1.0000, 0.1895, 1.0000, 0.0073, 0.0043, 0.0217, 0.0275, 0.0082, 0.0085
68.0000, 79.0000, 0.2030, 0.0000, 0.2212, 0.0000, 0.1318, 1.0000, 0.0069, 0.0052, 0.0383, 0.0668, 0.0082, 0.0084
69.0000, 75.0000, 0.1979, 1.0000, 0.1748, 1.0000, 0.0745, 1.0000, 0.0073, 0.0059, 0.0937, 0.1128, 0.0083, 0.0084
69.0000, 69.0000, 0.2050, 0.0000, 0.2290, 0.0000, 0.2007, 0.0000, 0.0060, 0.0048, 0.0272, 0.0627, 0.0083, 0.0093
69.0000, 82.0000, 0.2038, 0.0000, 0.1703, 1.0000, 0.1869, 1.0000, 0.0067, 0.0044, 0.0951, 0.1025, 0.0083, 0.0084
65.0000, -1.0000, 0.2063, 0.0000, 0.2184, 0.0000, 0.0584, 1.0000, 0.0075, 0.0045, 0.0894, 0.1188, 0.0083, 0.0083
68.0000, 72.0000, 0.2044, 0.0000, 0.1975, 1.0000, 0.2050, 0.0000, 0.0066, 0.0044, 0.0854, 0.1140, 0.0083, 0.0084
