# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
69.0000, 87.0000, 0.2810, 0.0000, 0.1949, 1.0000, 0.1418, 1.0000, 0.0083, 0.0109, 0.0111, 0.0241, 0.0097, 0.0083
71.0000, -1.0000, 0.2722, 0.0000, 0.0981, 1.0000, 0.1572, 1.0000, 0.0086, 0.0112, 0.0735, 0.0225, 0.0083, 0.0083
86.0000, -1.0000, 0.2657, 0.0000, 0.0493, 1.0000, 0.1841, 1.0000, 0.0070, 0.0088, 0.1427, 0.0596, 0.0094, 0.0084
69.0000, -1.0000, 0.2202, 0.0000, 0.1754, 1.0000, 0.1614, 1.0000, 0.0080, 0.0104, 0.0520, 0.0646, 0.0082, 0.0083
80.0000, 83.0000, 0.3048, 0.0000, 0.1543, 1.0000, 0.2309, 0.0000, 0.0080, 0.0097, 0.0995, 0.1034, 0.0085, 0.0083
89.0000, -1.0000, 0.2221, 0.0000, 0.1862, 1.0000, 0.1689, 1.0000, 0.0071, 0.0073, 0.0890, 0.0886, 0.0083, 0.0083
-1.0000, -1.0000, 0.2253, 0.0000, 0.0924, 1.0000, 0.1226, 1.0000, 0.0075, 0.0075, 0.1439, 0.1073, 0.0082, 0.0082
61.0000, 80.0000, 0.2573, 0.0000, 0.1885, 1.0000, 0.1376, 1.0000, 0.0094, 0.0122, 0.0680, 0.0594, 0.0083, 0.0083
66.0000, -1.0000, 0.2845, 0.0000, 0.1856, 1.0000, 0.1947, 1.0000, 0.0091, 0.0098, 0.0794, 0.0520, 0.0082, 0.0083
72.0000, 75.0000, 0.2866, 0.0000, 0.1681, 1.0000, 0.2424, 0.0000, 0.0082, 0.0116, 0.1073, 0.0882, 0.0083, 0.0083
73.0000, 79.0000, 0.3077, 0.0000, 0.2124, 0.0000, 0.2062, 0.0000, 0.0097, 0.0082, 0.0334, 0.0252, 0.0082, 0.0082
72.0000, 69.0000, 0.3405, 0.0000, 0.2109, 0.0000, 0.2336, 0.0000, 0.0096, 0.0085, 0.0454, 0.0791, 0.0083, 0.0083
-1.0000, 87.0000, 0.2759, 0.0000, 0.1903, 1.0000, 0.1793, 1.0000, 0.0069, 0.0074, 0.0380, 0.0505, 0.0083, 0.0083
75.0000, 70.0000, 0.3293, 0.0000, 0.1744, 1.0000, 0.1827, 1.0000, 0.0081, 0.0082, 0.0713, 0.0590, 0.0083, 0.0083
83.0000, -1.0000, 0.2607, 0.0000, 0.2222, 0.0000, 0.1926, 1.0000, 0.0094, 0.0076, 0.0218, 0.0382, 0.0082, 0.0083
85.0000, -1.0000, 0.2857, 0.0000, 0.1762, 1.0000, 0.1875, 1.0000, 0.0078, 0.0071, 0.0537, 0.0692, 0.0082, 0.0084
