# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.3557, 0.0000, 0.0354, 1.0000, 0.0230, 1.0000, 0.0071, 0.0150, 0.1736, 0.1863, 0.0147, 0.0122
-1.0000, -1.0000, 0.2863, 0.0000, 0.0210, 1.0000, 0.0417, 1.0000, 0.0078, 0.0154, 0.2138, 0.2340, 0.0125, 0.0122
-1.0000, -1.0000, 0.2136, 0.0000, 0.1902, 1.0000, 0.0813, 1.0000, 0.0105, 0.0075, 0.0668, 0.1302, 0.0151, 0.0150
-1.0000, -1.0000, 0.2636, 0.0000, 0.1120, 1.0000, 0.1576, 1.0000, 0.0109, 0.0067, 0.0749, 0.0761, 0.0163, 0.0161
-1.0000, -1.0000, 0.2418, 0.0000, 0.1624, 1.0000, 0.0513, 1.0000, 0.0103, 0.0079, 0.0727, 0.1633, 0.0162, 0.0165
88.0000, -1.0000, 0.2011, 0.0000, 0.1254, 1.0000, 0.1395, 1.0000, 0.0091, 0.0073, 0.0919, 0.1196, 0.0160, 0.0160
88.0000, -1.0000, 0.1559, 1.0000, 0.1550, 1.0000, 0.0883, 1.0000, 0.0097, 0.0083, 0.0867, 0.1508, 0.0161, 0.0164
-1.0000, -1.0000, 0.2856, 0.0000, 0.0165, 1.0000, 0.1438, 1.0000, 0.0068, 0.0076, 0.1578, 0.1038, 0.0166, 0.0161
66.0000, -1.0000, 0.2510, 0.0000, 0.1202, 1.0000, 0.1450, 1.0000, 0.0096, 0.0077, 0.0944, 0.1342, 0.0162, 0.0160
-1.0000, -1.0000, 0.2282, 0.0000, 0.1084, 1.0000, 0.0879, 1.0000, 0.0073, 0.0089, 0.1251, 0.1506, 0.0163, 0.0161
61.0000, -1.0000, 0.2771, 0.0000, 0.1196, 1.0000, 0.2178, 0.0000, 0.0099, 0.0078, 0.0670, 0.0462, 0.0162, 0.0161
-1.0000, -1.0000, 0.2614, 0.0000, 0.1605, 1.0000, 0.1433, 1.0000, 0.0078, 0.0099, 0.1064, 0.0908, 0.0163, 0.0163
-1.0000, 66.0000, 0.2315, 0.0000, 0.1565, 1.0000, 0.1806, 1.0000, 0.0100, 0.0088, 0.0661, 0.0728, 0.0161, 0.0160
78.0000, -1.0000, 0.2533, 0.0000, 0.1769, 1.0000, 0.1370, 1.0000, 0.0107, 0.0068, 0.0424, 0.0980, 0.0158, 0.0158
-1.0000, -1.0000, 0.3322, 0.0000, 0.0502, 1.0000, 0.0399, 1.0000, 0.0071, 0.0137, 0.1558, 0.1499, 0.0162, 0.0158
-1.0000, -1.0000, 0.3254, 0.0000, 0.0457, 1.0000, 0.0656, 1.0000, 0.0080, 0.0154, 0.1958, 0.2113, 0.0162, 0.0159
-1.0000, -1.0000, 0.0633, 1.0000, 0.0114, 1.0000, 0.0108, 1.0000, 0.0097, 0.0148, 0.2949, 0.2883, 0.0166, 0.0171
-1.0000, -1.0000, 0.2064, 0.0000, 0.0141, 1.0000, 0.0950, 1.0000, 0.0085, 0.0107, 0.1570, 0.0952, 0.0165, 0.0161
-1.0000, -1.0000, 0.2237, 0.0000, 0.0142, 1.0000, 0.0273, 1.0000, 0.0082, 0.0155, 0.1811, 0.2569, 0.0165, 0.0162
-1.0000, -1.0000, 0.1824, 1.0000, 0.0129, 1.0000, 0.0158, 1.0000, 0.0087, 0.0153, 0.3012, 0.1844, 0.0166, 0.0168
-1.0000, -1.0000, 0.1174, 1.0000, 0.0358, 1.0000, 0.0294, 1.0000, 0.0089, 0.0149, 0.3247, 0.2495, 0.0167, 0.0172
-1.0000, -1.0000, 0.2703, 0.0000, 0.0300, 1.0000, 0.1474, 1.0000, 0.0072, 0.0074, 0.1702, 0.1002, 0.0133, 0.0130
-1.0000, -1.0000, 0.2869, 0.0000, 0.0551, 1.0000, 0.1275, 1.0000, 0.0068, 0.0077, 0.1161, 0.1434, 0.0127, 0.0124
-1.0000, 81.0000, 0.2779, 0.0000, 0.1071, 1.0000, 0.0749, 1.0000, 0.0079, 0.0092, 0.1420, 0.1635, 0.0124, 0.0121
62.0000, 77.0000, 0.2459, 0.0000, 0.1418, 1.0000, 0.2210, 0.0000, 0.0099, 0.0088, 0.0641, 0.0366, 0.0125, 0.0121
