# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.4749, 0.0000, 0.0051, 1.0000, 0.0623, 1.0000, 0.0076, 0.0136, 0.3953, 0.4793, 0.0094, 0.0068
-1.0000, -1.0000, 0.1142, 1.0000, 0.0095, 1.0000, 0.2146, 0.0000, 0.0081, 0.0066, 0.7383, 0.7584, 0.0070, 0.0062
-1.0000, -1.0000, 0.2016, 0.0000, 0.1932, 1.0000, 0.4055, 0.0000, 0.0073, 0.0067, 0.5124, 0.6847, 0.0064, 0.0063
-1.0000, -1.0000, 0.3862, 0.0000, 0.0034, 1.0000, 0.0316, 1.0000, 0.0075, 0.0137, 0.3188, 0.4807, 0.0069, 0.0065
-1.0000, -1.0000, 0.1330, 1.0000, 0.1546, 1.0000, 0.2103, 0.0000, 0.0092, 0.0073, 0.6450, 0.6675, 0.0063, 0.0060
-1.0000, -1.0000, 0.0886, 1.0000, 0.2001, 0.0000, 0.1522, 1.0000, 0.0076, 0.0099, 0.6435, 0.6835, 0.0060, 0.0060
-1.0000, -1.0000, 0.1213, 1.0000, 0.0159, 1.0000, 0.1875, 1.0000, 0.0099, 0.0107, 0.5016, 0.6427, 0.0073, 0.0061
-1.0000, -1.0000, 0.4092, 0.0000, 0.0313, 1.0000, 0.0093, 1.0000, 0.0074, 0.0150, 0.1964, 0.1008, 0.0064, 0.0066
-1.0000, -1.0000, 0.3981, 0.0000, 0.0028, 1.0000, 0.0396, 1.0000, 0.0065, 0.0143, 0.1202, 0.1735, 0.0071, 0.0066
-1.0000, -1.0000, 0.3069, 0.0000, 0.0170, 1.0000, 0.0705, 1.0000, 0.0080, 0.0109, 0.1520, 0.5712, 0.0066, 0.0064
-1.0000, -1.0000, 0.4076, 0.0000, 0.0433, 1.0000, 0.0357, 1.0000, 0.0068, 0.0158, 0.1757, 0.1589, 0.0066, 0.0063
-1.0000, -1.0000, 0.2901, 0.0000, 0.0306, 1.0000, 0.0851, 1.0000, 0.0072, 0.0135, 0.1462, 0.2400, 0.0065, 0.0063
63.0000, 78.0000, 0.3071, 0.0000, 0.1412, 1.0000, 0.1984, 1.0000, 0.0097, 0.0125, 0.0485, 0.0752, 0.0065, 0.0064
