# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.2038, 0.0000, 0.0255, 1.0000, 0.1233, 1.0000, 0.0069, 0.0077, 0.1605, 0.0742, 0.0103, 0.0075
-1.0000, 89.0000, 0.2597, 0.0000, 0.1623, 1.0000, 0.1865, 1.0000, 0.0080, 0.0096, 0.0874, 0.0869, 0.0074, 0.0075
-1.0000, 82.0000, 0.3214, 0.0000, 0.1887, 1.0000, 0.1005, 1.0000, 0.0074, 0.0095, 0.1125, 0.1585, 0.0075, 0.0075
82.0000, 74.0000, 0.2167, 0.0000, 0.1989, 1.0000, 0.2412, 0.0000, 0.0101, 0.0075, 0.0451, 0.0574, 0.0074, 0.0075
79.0000, 79.0000, 0.2479, 0.0000, 0.2216, 0.0000, 0.1952, 1.0000, 0.0095, 0.0082, 0.0749, 0.1289, 0.0075, 0.0075
-1.0000, 87.0000, 0.2959, 0.0000, 0.1846, 1.0000, 0.1835, 1.0000, 0.0073, 0.0070, 0.0651, 0.1193, 0.0074, 0.0074
77.0000, 81.0000, 0.3472, 0.0000, 0.1969, 1.0000, 0.1993, 1.0000, 0.0082, 0.0095, 0.0895, 0.1430, 0.0074, 0.0074
65.0000, -1.0000, 0.2988, 0.0000, 0.1432, 1.0000, 0.2192, 0.0000, 0.0092, 0.0091, 0.0809, 0.0615, 0.0075, 0.0074
69.0000, 74.0000, 0.2989, 0.0000, 0.2132, 0.0000, 0.2189, 0.0000, 0.0088, 0.0102, 0.0926, 0.0799, 0.0074, 0.0074
63.0000, 72.0000, 0.3410, 0.0000, 0.2328, 0.0000, 0.1716, 1.0000, 0.0089, 0.0101, 0.0938, 0.1182, 0.0074, 0.0074
-1.0000, 73.0000, 0.3120, 0.0000, 0.1993, 1.0000, 0.2147, 0.0000, 0.0071, 0.0097, 0.0373, 0.0116, 0.0074, 0.0074
67.0000, 74.0000, 0.3473, 0.0000, 0.2125, 0.0000, 0.1677, 1.0000, 0.0092, 0.0092, 0.0552, 0.1018, 0.0074, 0.0074
73.0000, 65.0000, 0.2092, 0.0000, 0.2021, 0.0000, 0.2356, 0.0000, 0.0108, 0.0089, 0.0408, 0.0503, 0.0074, 0.0074
71.0000, 67.0000, 0.2073, 0.0000, 0.2406, 0.0000, 0.2417, 0.0000, 0.0094, 0.0084, 0.0432, 0.0815, 0.0074, 0.0074
-1.0000, -1.0000, 0.2425, 0.0000, 0.0227, 1.0000, 0.0949, 1.0000, 0.0067, 0.0078, 0.1662, 0.0893, 0.0077, 0.0074
-1.0000, 87.0000, 0.2737, 0.0000, 0.1284, 1.0000, 0.1643, 1.0000, 0.0080, 0.0100, 0.0923, 0.0909, 0.0074, 0.0074
-1.0000, 87.0000, 0.2346, 0.0000, 0.1586, 1.0000, 0.0413, 1.0000, 0.0084, 0.0106, 0.1143, 0.1881, 0.0074, 0.0075
-1.0000, -1.0000, 0.2860, 0.0000, 0.1180, 1.0000, 0.1678, 1.0000, 0.0076, 0.0074, 0.0575, 0.0840, 0.0075, 0.0074
-1.0000, 84.0000, 0.3382, 0.0000, 0.1883, 1.0000, 0.1795, 1.0000, 0.0073, 0.0097, 0.1026, 0.1392, 0.0074, 0.0074
76.0000, 71.0000, 0.2899, 0.0000, 0.2213, 0.0000, 0.2282, 0.0000, 0.0091, 0.0080, 0.0808, 0.0973, 0.0074, 0.0074
85.0000, 83.0000, 0.3240, 0.0000, 0.1989, 1.0000, 0.1961, 1.0000, 0.0076, 0.0090, 0.0873, 0.1410, 0.0074, 0.0075
79.0000, -1.0000, 0.3021, 0.0000, 0.0446, 1.0000, 0.1889, 1.0000, 0.0075, 0.0079, 0.1541, 0.0878, 0.0077, 0.0074
65.0000, -1.0000, 0.3211, 0.0000, 0.1318, 1.0000, 0.1690, 1.0000, 0.0098, 0.0088, 0.1095, 0.1289, 0.0076, 0.0074
-1.0000, 85.0000, 0.3197, 0.0000, 0.2057, 0.0000, 0.1563, 1.0000, 0.0073, 0.0109, 0.1763, 0.1210, 0.0075, 0.0075
-1.0000, 73.0000, 0.2931, 0.0000, 0.1753, 1.0000, 0.2343, 0.0000, 0.0071, 0.0104, 0.0551, 0.0176, 0.0075, 0.0075
-1.0000, 76.0000, 0.3059, 0.0000, 0.1983, 1.0000, 0.1646, 1.0000, 0.0074, 0.0093, 0.1142, 0.1049, 0.0074, 0.0074
77.0000, 73.0000, 0.2965, 0.0000, 0.2049, 0.0000, 0.2228, 0.0000, 0.0080, 0.0086, 0.0304, 0.0448, 0.0074, 0.0075
61.0000, 68.0000, 0.3648, 0.0000, 0.2280, 0.0000, 0.2222, 0.0000, 0.0092, 0.0096, 0.0349, 0.0821, 0.0075, 0.0075
-1.0000, 73.0000, 0.2557, 0.0000, 0.2059, 0.0000, 0.1135, 1.0000, 0.0055, 0.0048, 0.0424, 0.0494, 0.0074, 0.0077
77.0000, 70.0000, 0.2340, 0.0000, 0.1769, 1.0000, 0.2106, 0.0000, 0.0063, 0.0047, 0.0678, 0.0561, 0.0074, 0.0074
-1.0000, -1.0000, 0.2292, 0.0000, 0.1761, 1.0000, 0.2402, 0.0000, 0.0068, 0.0036, 0.1218, 0.1126, 0.0075, 0.0075
71.0000, 82.0000, 0.2350, 0.0000, 0.2387, 0.0000, 0.2053, 0.0000, 0.0066, 0.0040, 0.0289, 0.0477, 0.0074, 0.0083
79.0000, -1.0000, 0.2484, 0.0000, 0.1845, 1.0000, 0.2413, 0.0000, 0.0075, 0.0036, 0.1001, 0.1009, 0.0075, 0.0075
84.0000, 76.0000, 0.2789, 0.0000, 0.1802, 1.0000, 0.2017, 0.0000, 0.0076, 0.0048, 0.0673, 0.0572, 0.0075, 0.0075
86.0000, -1.0000, 0.2518, 0.0000, 0.1910, 1.0000, 0.2437, 0.0000, 0.0068, 0.0035, 0.0882, 0.0645, 0.0076, 0.0076
-1.0000, -1.0000, 0.1413, 1.0000, 0.2154, 0.0000, 0.2021, 0.0000, 0.0100, 0.0068, 0.0783, 0.0746, 0.0075, 0.0077
-1.0000, 64.0000, 0.2103, 0.0000, 0.2300, 0.0000, 0.1969, 1.0000, 0.0062, 0.0053, 0.1080, 0.0568, 0.0076, 0.0078
64.0000, 59.0000, 0.2233, 0.0000, 0.1845, 1.0000, 0.2349, 0.0000, 0.0081, 0.0053, 0.1055, 0.0984, 0.0077, 0.0077
66.0000, 59.0000, 0.2151, 0.0000, 0.2215, 0.0000, 0.1886, 1.0000, 0.0081, 0.0054, 0.0270, 0.0159, 0.0076, 0.0078
63.0000, 56.0000, 0.2130, 0.0000, 0.1988, 1.0000, 0.2421, 0.0000, 0.0075, 0.0055, 0.0661, 0.0772, 0.0077, 0.0077
63.0000, 63.0000, 0.2371, 0.0000, 0.2268, 0.0000, 0.2123, 0.0000, 0.0073, 0.0049, 0.0263, 0.0342, 0.0076, 0.0077
60.0000, 54.0000, 0.2433, 0.0000, 0.2208, 0.0000, 0.2372, 0.0000, 0.0080, 0.0052, 0.0433, 0.0753, 0.0077, 0.0077
-1.0000, -1.0000, 0.2779, 0.0000, 0.1905, 1.0000, 0.0644, 1.0000, 0.0048, 0.0037, 0.0704, 0.1184, 0.0075, 0.0079
-1.0000, 66.0000, 0.2156, 0.0000, 0.1653, 1.0000, 0.1675, 1.0000, 0.0054, 0.0048, 0.0976, 0.0376, 0.0074, 0.0076
78.0000, 72.0000, 0.2148, 0.0000, 0.1766, 1.0000, 0.2403, 0.0000, 0.0078, 0.0043, 0.0976, 0.0997, 0.0076, 0.0076
74.0000, -1.0000, 0.2537, 0.0000, 0.2196, 0.0000, 0.1851, 1.0000, 0.0041, 0.0078, 0.0188, 0.0419, 0.0076, 0.0075
71.0000, 68.0000, 0.2394, 0.0000, 0.1844, 1.0000, 0.2386, 0.0000, 0.0064, 0.0044, 0.0818, 0.0813, 0.0075, 0.0075
74.0000, 72.0000, 0.2455, 0.0000, 0.2138, 0.0000, 0.2079, 0.0000, 0.0062, 0.0046, 0.0509, 0.0586, 0.0076, 0.0076
69.0000, 63.0000, 0.2672, 0.0000, 0.1968, 1.0000, 0.2474, 0.0000, 0.0068, 0.0044, 0.0789, 0.0886, 0.0076, 0.0076
71.0000, -1.0000, 0.1540, 1.0000, 0.2088, 0.0000, 0.1851, 1.0000, 0.0084, 0.0058, 0.0689, 0.0771, 0.0077, 0.0078
69.0000, -1.0000, 0.1552, 1.0000, 0.2227, 0.0000, 0.1980, 1.0000, 0.0090, 0.0044, 0.0943, 0.1507, 0.0077, 0.0079
-1.0000, 68.0000, 0.2014, 0.0000, 0.1891, 1.0000, 0.1719, 1.0000, 0.0064, 0.0054, 0.1963, 0.1007, 0.0076, 0.0077
54.0000, 67.0000, 0.2259, 0.0000, 0.2336, 0.0000, 0.1896, 1.0000, 0.0050, 0.0101, 0.0377, 0.0268, 0.0077, 0.0077
54.0000, 62.0000, 0.2506, 0.0000, 0.2349, 0.0000, 0.2349, 0.0000, 0.0048, 0.0096, 0.0629, 0.0605, 0.0077, 0.0078
65.0000, 69.0000, 0.2110, 0.0000, 0.2162, 0.0000, 0.2040, 0.0000, 0.0072, 0.0049, 0.0232, 0.0366, 0.0077, 0.0077
61.0000, 58.0000, 0.2429, 0.0000, 0.2410, 0.0000, 0.2203, 0.0000, 0.0075, 0.0050, 0.0360, 0.0590, 0.0077, 0.0077
