# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.1667, 1.0000, 0.0506, 1.0000, 0.2138, 0.0000, 0.0115, 0.0061, 0.7149, 0.6611, 0.0081, 0.0054
-1.0000, -1.0000, 0.2066, 0.0000, 0.0490, 1.0000, 0.2183, 0.0000, 0.0097, 0.0058, 0.7409, 0.6631, 0.0060, 0.0054
-1.0000, -1.0000, 0.3060, 0.0000, 0.1248, 1.0000, 0.1895, 1.0000, 0.0083, 0.0077, 0.4274, 0.5873, 0.0056, 0.0054
-1.0000, -1.0000, 0.1391, 1.0000, 0.0668, 1.0000, 0.1991, 1.0000, 0.0102, 0.0055, 0.6998, 0.7271, 0.0060, 0.0054
-1.0000, -1.0000, 0.2515, 0.0000, 0.0648, 1.0000, 0.2119, 0.0000, 0.0141, 0.0081, 0.5018, 0.6799, 0.0058, 0.0054
-1.0000, -1.0000, 0.0177, 1.0000, 0.0135, 1.0000, 0.0184, 1.0000, 0.0141, 0.0099, 0.2436, 0.3859, 0.0064, 0.0057
-1.0000, -1.0000, 0.1188, 1.0000, 0.0848, 1.0000, 0.1830, 1.0000, 0.0095, 0.0087, 0.6252, 0.6662, 0.0063, 0.0054
-1.0000, -1.0000, 0.3001, 0.0000, 0.0427, 1.0000, 0.0687, 1.0000, 0.0069, 0.0085, 0.1940, 0.1579, 0.0058, 0.0056
-1.0000, -1.0000, 0.2985, 0.0000, 0.0403, 1.0000, 0.0557, 1.0000, 0.0071, 0.0095, 0.1338, 0.1637, 0.0062, 0.0061
-1.0000, -1.0000, 0.2549, 0.0000, 0.0902, 1.0000, 0.0198, 1.0000, 0.0084, 0.0119, 0.1059, 0.2067, 0.0061, 0.0061
-1.0000, -1.0000, 0.1786, 1.0000, 0.0215, 1.0000, 0.0195, 1.0000, 0.0092, 0.0143, 0.2817, 0.1116, 0.0064, 0.0065
-1.0000, -1.0000, 0.2400, 0.0000, 0.0260, 1.0000, 0.0066, 1.0000, 0.0087, 0.0150, 0.1648, 0.1423, 0.0062, 0.0066
71.0000, 70.0000, 0.2198, 0.0000, 0.1547, 1.0000, 0.1967, 1.0000, 0.0099, 0.0081, 0.0443, 0.0740, 0.0062, 0.0059
-1.0000, -1.0000, 0.2470, 0.0000, 0.0543, 1.0000, 0.0517, 1.0000, 0.0088, 0.0099, 0.1516, 0.1742, 0.0063, 0.0060
-1.0000, -1.0000, 0.4562, 0.0000, 0.0370, 1.0000, 0.0506, 1.0000, 0.0087, 0.0092, 0.4392, 0.5843, 0.0062, 0.0059
-1.0000, -1.0000, 0.2587, 0.0000, 0.0191, 1.0000, 0.0341, 1.0000, 0.0091, 0.0099, 0.4221, 0.5571, 0.0063, 0.0061
-1.0000, -1.0000, 0.2211, 0.0000, 0.0454, 1.0000, 0.0066, 1.0000, 0.0117, 0.0096, 0.2417, 0.6126, 0.0064, 0.0060
-1.0000, -1.0000, 0.3687, 0.0000, 0.0372, 1.0000, 0.0364, 1.0000, 0.0090, 0.0094, 0.4246, 0.6241, 0.0063, 0.0059
-1.0000, -1.0000, 0.1516, 1.0000, 0.0636, 1.0000, 0.1680, 1.0000, 0.0081, 0.0051, 0.7242, 0.7930, 0.0064, 0.0060
-1.0000, -1.0000, 0.0789, 1.0000, 0.0239, 1.0000, 0.0844, 1.0000, 0.0130, 0.0074, 0.3280, 0.7207, 0.0068, 0.0060
-1.0000, -1.0000, 0.1205, 1.0000, 0.0493, 1.0000, 0.1436, 1.0000, 0.0095, 0.0051, 0.6761, 0.8241, 0.0066, 0.0060
69.0000, -1.0000, 0.3323, 0.0000, 0.1184, 1.0000, 0.2233, 0.0000, 0.0092, 0.0089, 0.0852, 0.0727, 0.0062, 0.0060
-1.0000, 70.0000, 0.2431, 0.0000, 0.1911, 1.0000, 0.2016, 0.0000, 0.0072, 0.0097, 0.1246, 0.0866, 0.0060, 0.0060
79.0000, 78.0000, 0.2299, 0.0000, 0.2064, 0.0000, 0.1635, 1.0000, 0.0081, 0.0107, 0.1333, 0.1381, 0.0060, 0.0059
-1.0000, -1.0000, 0.2476, 0.0000, 0.0735, 1.0000, 0.1653, 1.0000, 0.0071, 0.0079, 0.1073, 0.0743, 0.0063, 0.0060
-1.0000, -1.0000, 0.2757, 0.0000, 0.0634, 1.0000, 0.0452, 1.0000, 0.0072, 0.0101, 0.1080, 0.1864, 0.0064, 0.0060
74.0000, 72.0000, 0.2109, 0.0000, 0.1703, 1.0000, 0.2295, 0.0000, 0.0096, 0.0082, 0.0376, 0.0600, 0.0060, 0.0060
70.0000, -1.0000, 0.2596, 0.0000, 0.1131, 1.0000, 0.1325, 1.0000, 0.0100, 0.0087, 0.0652, 0.1551, 0.0062, 0.0060
75.0000, -1.0000, 0.2693, 0.0000, 0.1159, 1.0000, 0.1855, 1.0000, 0.0043, 0.0051, 0.0660, 0.0676, 0.0063, 0.0060
-1.0000, -1.0000, 0.2340, 0.0000, 0.1117, 1.0000, 0.1006, 1.0000, 0.0047, 0.0071, 0.0566, 0.1425, 0.0062, 0.0061
-1.0000, 85.0000, 0.1707, 1.0000, 0.1398, 1.0000, 0.1587, 1.0000, 0.0101, 0.0060, 0.0979, 0.1366, 0.0061, 0.0063
-1.0000, -1.0000, 0.2214, 0.0000, 0.1237, 1.0000, 0.1192, 1.0000, 0.0060, 0.0049, 0.1231, 0.0853, 0.0060, 0.0060
70.0000, 63.0000, 0.2087, 0.0000, 0.2175, 0.0000, 0.2015, 0.0000, 0.0070, 0.0050, 0.0791, 0.1248, 0.0061, 0.0070
-1.0000, -1.0000, 0.2184, 0.0000, 0.0692, 1.0000, 0.0156, 1.0000, 0.0076, 0.0052, 0.2924, 0.3245, 0.0061, 0.0064
-1.0000, -1.0000, 0.2094, 0.0000, 0.0581, 1.0000, 0.0319, 1.0000, 0.0075, 0.0054, 0.1865, 0.2646, 0.0062, 0.0064
-1.0000, -1.0000, 0.2260, 0.0000, 0.0291, 1.0000, 0.1386, 1.0000, 0.0034, 0.0054, 0.1529, 0.1207, 0.0064, 0.0061
77.0000, 67.0000, 0.2175, 0.0000, 0.1848, 1.0000, 0.1719, 1.0000, 0.0108, 0.0058, 0.0774, 0.0817, 0.0061, 0.0061
68.0000, 59.0000, 0.2070, 0.0000, 0.2053, 0.0000, 0.1955, 1.0000, 0.0101, 0.0062, 0.0961, 0.1281, 0.0060, 0.0061
-1.0000, -1.0000, 0.2164, 0.0000, 0.1837, 1.0000, 0.2004, 0.0000, 0.0047, 0.0043, 0.1143, 0.0301, 0.0061, 0.0060
62.0000, 55.0000, 0.2108, 0.0000, 0.2210, 0.0000, 0.1963, 1.0000, 0.0090, 0.0058, 0.0432, 0.0998, 0.0061, 0.0061
73.0000, -1.0000, 0.2324, 0.0000, 0.1197, 1.0000, 0.1708, 1.0000, 0.0054, 0.0054, 0.0815, 0.0906, 0.0062, 0.0060
74.0000, 69.0000, 0.2115, 0.0000, 0.1740, 1.0000, 0.1513, 1.0000, 0.0106, 0.0055, 0.0474, 0.0891, 0.0060, 0.0061
69.0000, 72.0000, 0.2534, 0.0000, 0.2136, 0.0000, 0.2087, 0.0000, 0.0047, 0.0073, 0.0309, 0.0188, 0.0061, 0.0061
61.0000, 68.0000, 0.2810, 0.0000, 0.2377, 0.0000, 0.2334, 0.0000, 0.0042, 0.0074, 0.0289, 0.0532, 0.0061, 0.0060
69.0000, 70.0000, 0.2666, 0.0000, 0.1993, 1.0000, 0.1964, 1.0000, 0.0043, 0.0074, 0.0785, 0.1027, 0.0061, 0.0061
-1.0000, -1.0000, 0.2787, 0.0000, 0.1033, 1.0000, 0.1199, 1.0000, 0.0047, 0.0065, 0.0503, 0.1129, 0.0061, 0.0060
79.0000, 73.0000, 0.2586, 0.0000, 0.1330, 1.0000, 0.2082, 0.0000, 0.0045, 0.0089, 0.0790, 0.0694, 0.0061, 0.0060
-1.0000, -1.0000, 0.1420, 1.0000, 0.0535, 1.0000, 0.0036, 1.0000, 0.0107, 0.0109, 0.3136, 0.4062, 0.0060, 0.0071
-1.0000, -1.0000, 0.2230, 0.0000, 0.0928, 1.0000, 0.0271, 1.0000, 0.0069, 0.0061, 0.2568, 0.3869, 0.0062, 0.0064
-1.0000, 68.0000, 0.2111, 0.0000, 0.1913, 1.0000, 0.1916, 1.0000, 0.0036, 0.0093, 0.0680, 0.0593, 0.0062, 0.0060
57.0000, 64.0000, 0.2459, 0.0000, 0.2134, 0.0000, 0.2111, 0.0000, 0.0049, 0.0091, 0.0855, 0.0957, 0.0061, 0.0061
59.0000, 62.0000, 0.2566, 0.0000, 0.1904, 1.0000, 0.2037, 0.0000, 0.0053, 0.0095, 0.1172, 0.1105, 0.0061, 0.0060
56.0000, 64.0000, 0.2330, 0.0000, 0.2122, 0.0000, 0.2221, 0.0000, 0.0052, 0.0087, 0.0360, 0.0326, 0.0061, 0.0061
-1.0000, 57.0000, 0.2062, 0.0000, 0.2018, 0.0000, 0.1853, 1.0000, 0.0058, 0.0061, 0.1380, 0.0544, 0.0061, 0.0061
56.0000, -1.0000, 0.2179, 0.0000, 0.1622, 1.0000, 0.2198, 0.0000, 0.0055, 0.0050, 0.0503, 0.0630, 0.0057, 0.0056
67.0000, -1.0000, 0.2160, 0.0000, 0.1375, 1.0000, 0.1577, 1.0000, 0.0054, 0.0058, 0.0596, 0.1274, 0.0057, 0.0055
