# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
70.0000, -1.0000, 0.2266, 0.0000, 0.0729, 1.0000, 0.1578, 1.0000, 0.0093, 0.0076, 0.0575, 0.0583, 0.0100, 0.0078
71.0000, 75.0000, 0.2214, 0.0000, 0.1447, 1.0000, 0.1182, 1.0000, 0.0090, 0.0079, 0.0428, 0.0963, 0.0078, 0.0078
-1.0000, -1.0000, 0.2057, 0.0000, 0.1756, 1.0000, 0.1019, 1.0000, 0.0084, 0.0099, 0.1210, 0.1812, 0.0078, 0.0078
-1.0000, -1.0000, 0.3172, 0.0000, 0.0256, 1.0000, 0.1104, 1.0000, 0.0067, 0.0114, 0.1546, 0.2458, 0.0081, 0.0079
-1.0000, -1.0000, 0.1958, 1.0000, 0.0484, 1.0000, 0.0450, 1.0000, 0.0075, 0.0105, 0.1431, 0.5893, 0.0079, 0.0078
-1.0000, -1.0000, 0.2721, 0.0000, 0.0267, 1.0000, 0.0829, 1.0000, 0.0072, 0.0129, 0.2093, 0.2619, 0.0077, 0.0078
-1.0000, -1.0000, 0.1864, 1.0000, 0.0205, 1.0000, 0.1354, 1.0000, 0.0068, 0.0101, 0.1355, 0.2928, 0.0081, 0.0079
64.0000, 75.0000, 0.2444, 0.0000, 0.1889, 1.0000, 0.2236, 0.0000, 0.0089, 0.0095, 0.0723, 0.0546, 0.0082, 0.0080
66.0000, 72.0000, 0.2456, 0.0000, 0.2221, 0.0000, 0.2111, 0.0000, 0.0089, 0.0097, 0.0930, 0.0847, 0.0080, 0.0080
68.0000, 68.0000, 0.2276, 0.0000, 0.2278, 0.0000, 0.1381, 1.0000, 0.0084, 0.0091, 0.0999, 0.1246, 0.0079, 0.0080
62.0000, -1.0000, 0.2185, 0.0000, 0.0898, 1.0000, 0.1624, 1.0000, 0.0102, 0.0073, 0.0676, 0.0622, 0.0081, 0.0081
