# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.4419, 0.0000, 0.0218, 1.0000, 0.0499, 1.0000, 0.0110, 0.0076, 0.1170, 0.1040, 0.0083, 0.0080
-1.0000, 75.0000, 0.3019, 0.0000, 0.0803, 1.0000, 0.1135, 1.0000, 0.0111, 0.0091, 0.0680, 0.0688, 0.0068, 0.0069
-1.0000, -1.0000, 0.2624, 0.0000, 0.0372, 1.0000, 0.1211, 1.0000, 0.0157, 0.0090, 0.1603, 0.1005, 0.0068, 0.0069
-1.0000, -1.0000, 0.4215, 0.0000, 0.0074, 1.0000, 0.0316, 1.0000, 0.0101, 0.0069, 0.1631, 0.1635, 0.0069, 0.0071
-1.0000, 77.0000, 0.3094, 0.0000, 0.0861, 1.0000, 0.1385, 1.0000, 0.0127, 0.0096, 0.1151, 0.0992, 0.0068, 0.0068
-1.0000, -1.0000, 0.3671, 0.0000, 0.0142, 1.0000, 0.0242, 1.0000, 0.0141, 0.0074, 0.1859, 0.1621, 0.0072, 0.0070
-1.0000, -1.0000, 0.2768, 0.0000, 0.0325, 1.0000, 0.0113, 1.0000, 0.0143, 0.0082, 0.2221, 0.1735, 0.0069, 0.0071
-1.0000, 67.0000, 0.3755, 0.0000, 0.1785, 1.0000, 0.0476, 1.0000, 0.0098, 0.0085, 0.0838, 0.1176, 0.0069, 0.0072
-1.0000, -1.0000, 0.2745, 0.0000, 0.1717, 1.0000, 0.1708, 1.0000, 0.0133, 0.0080, 0.0517, 0.1213, 0.0068, 0.0068
-1.0000, -1.0000, 0.3182, 0.0000, 0.1419, 1.0000, 0.1754, 1.0000, 0.0106, 0.0084, 0.1021, 0.1485, 0.0068, 0.0068
-1.0000, -1.0000, 0.2963, 0.0000, 0.2271, 0.0000, 0.1697, 1.0000, 0.0086, 0.0078, 0.0165, 0.0383, 0.0068, 0.0068
76.0000, 70.0000, 0.2903, 0.0000, 0.1582, 1.0000, 0.1935, 1.0000, 0.0099, 0.0086, 0.0734, 0.0677, 0.0069, 0.0070
-1.0000, 78.0000, 0.2847, 0.0000, 0.2017, 0.0000, 0.1756, 1.0000, 0.0075, 0.0080, 0.0350, 0.0541, 0.0072, 0.0071
-1.0000, -1.0000, 0.3010, 0.0000, 0.1907, 1.0000, 0.1970, 1.0000, 0.0071, 0.0071, 0.0740, 0.0750, 0.0077, 0.0077
-1.0000, -1.0000, 0.4428, 0.0000, 0.0361, 1.0000, 0.0357, 1.0000, 0.0119, 0.0079, 0.1067, 0.1559, 0.0080, 0.0079
-1.0000, -1.0000, 0.3415, 0.0000, 0.1309, 1.0000, 0.1208, 1.0000, 0.0119, 0.0082, 0.0852, 0.0773, 0.0077, 0.0077
-1.0000, -1.0000, 0.3573, 0.0000, 0.0957, 1.0000, 0.1676, 1.0000, 0.0141, 0.0082, 0.1177, 0.1126, 0.0077, 0.0077
70.0000, 83.0000, 0.2815, 0.0000, 0.2350, 0.0000, 0.1812, 1.0000, 0.0077, 0.0107, 0.0347, 0.0449, 0.0077, 0.0077
77.0000, 87.0000, 0.2650, 0.0000, 0.1614, 1.0000, 0.2326, 0.0000, 0.0083, 0.0087, 0.0903, 0.0902, 0.0077, 0.0076
-1.0000, -1.0000, 0.2978, 0.0000, 0.1338, 1.0000, 0.1158, 1.0000, 0.0134, 0.0083, 0.1417, 0.0887, 0.0079, 0.0079
-1.0000, -1.0000, 0.2820, 0.0000, 0.0676, 1.0000, 0.0911, 1.0000, 0.0145, 0.0084, 0.1748, 0.1027, 0.0079, 0.0079
-1.0000, 67.0000, 0.3936, 0.0000, 0.1920, 1.0000, 0.0577, 1.0000, 0.0087, 0.0091, 0.0965, 0.1124, 0.0077, 0.0080
80.0000, -1.0000, 0.2874, 0.0000, 0.1840, 1.0000, 0.1774, 1.0000, 0.0100, 0.0076, 0.0897, 0.1259, 0.0078, 0.0078
-1.0000, -1.0000, 0.3461, 0.0000, 0.1785, 1.0000, 0.1975, 1.0000, 0.0088, 0.0079, 0.0885, 0.1634, 0.0079, 0.0079
84.0000, -1.0000, 0.3130, 0.0000, 0.2358, 0.0000, 0.1719, 1.0000, 0.0094, 0.0080, 0.0192, 0.0467, 0.0078, 0.0078
74.0000, 67.0000, 0.3578, 0.0000, 0.1683, 1.0000, 0.2034, 0.0000, 0.0099, 0.0088, 0.0662, 0.0624, 0.0078, 0.0078
61.0000, 73.0000, 0.2775, 0.0000, 0.2392, 0.0000, 0.1862, 1.0000, 0.0090, 0.0113, 0.0300, 0.0407, 0.0079, 0.0079
61.0000, -1.0000, 0.2977, 0.0000, 0.1738, 1.0000, 0.1871, 1.0000, 0.0090, 0.0098, 0.0562, 0.0455, 0.0080, 0.0079
-1.0000, -1.0000, 0.4180, 0.0000, 0.0817, 1.0000, 0.0183, 1.0000, 0.0130, 0.0045, 0.0832, 0.1019, 0.0086, 0.0081
-1.0000, -1.0000, 0.3474, 0.0000, 0.1777, 1.0000, 0.1461, 1.0000, 0.0057, 0.0049, 0.0910, 0.0938, 0.0079, 0.0080
-1.0000, -1.0000, 0.3173, 0.0000, 0.0993, 1.0000, 0.1744, 1.0000, 0.0114, 0.0046, 0.1360, 0.1429, 0.0079, 0.0080
81.0000, -1.0000, 0.3310, 0.0000, 0.1627, 1.0000, 0.1151, 1.0000, 0.0080, 0.0045, 0.0604, 0.0700, 0.0079, 0.0089
-1.0000, -1.0000, 0.3188, 0.0000, 0.1532, 1.0000, 0.1677, 1.0000, 0.0090, 0.0056, 0.1361, 0.1180, 0.0079, 0.0080
-1.0000, -1.0000, 0.3293, 0.0000, 0.1854, 1.0000, 0.1525, 1.0000, 0.0055, 0.0050, 0.1185, 0.0672, 0.0082, 0.0081
-1.0000, -1.0000, 0.2953, 0.0000, 0.1575, 1.0000, 0.1706, 1.0000, 0.0087, 0.0048, 0.1359, 0.0955, 0.0079, 0.0080
-1.0000, 56.0000, 0.3403, 0.0000, 0.2037, 0.0000, 0.0886, 1.0000, 0.0064, 0.0047, 0.0887, 0.0902, 0.0079, 0.0082
72.0000, 66.0000, 0.2726, 0.0000, 0.1870, 1.0000, 0.1850, 1.0000, 0.0079, 0.0052, 0.0870, 0.0944, 0.0079, 0.0079
-1.0000, -1.0000, 0.3077, 0.0000, 0.1568, 1.0000, 0.1982, 1.0000, 0.0093, 0.0046, 0.0717, 0.1629, 0.0079, 0.0080
-1.0000, -1.0000, 0.2584, 0.0000, 0.2247, 0.0000, 0.1705, 1.0000, 0.0062, 0.0044, 0.0211, 0.0417, 0.0078, 0.0079
65.0000, 59.0000, 0.2954, 0.0000, 0.1590, 1.0000, 0.2025, 0.0000, 0.0088, 0.0047, 0.0780, 0.0727, 0.0079, 0.0080
-1.0000, 63.0000, 0.2837, 0.0000, 0.2073, 0.0000, 0.1943, 1.0000, 0.0063, 0.0052, 0.0240, 0.0428, 0.0079, 0.0080
65.0000, 60.0000, 0.2841, 0.0000, 0.1718, 1.0000, 0.1999, 1.0000, 0.0084, 0.0052, 0.0694, 0.0675, 0.0079, 0.0080
-1.0000, -1.0000, 0.2158, 0.0000, 0.1231, 1.0000, 0.0311, 1.0000, 0.0039, 0.0123, 0.0383, 0.1393, 0.0081, 0.0080
-1.0000, -1.0000, 0.3114, 0.0000, 0.1736, 1.0000, 0.1386, 1.0000, 0.0060, 0.0050, 0.0810, 0.0988, 0.0079, 0.0080
-1.0000, -1.0000, 0.3338, 0.0000, 0.1066, 1.0000, 0.1520, 1.0000, 0.0113, 0.0050, 0.1158, 0.1354, 0.0078, 0.0079
-1.0000, -1.0000, 0.4057, 0.0000, 0.1213, 1.0000, 0.0392, 1.0000, 0.0094, 0.0046, 0.0874, 0.1071, 0.0078, 0.0081
-1.0000, -1.0000, 0.3244, 0.0000, 0.1692, 1.0000, 0.1886, 1.0000, 0.0078, 0.0047, 0.1017, 0.1089, 0.0078, 0.0079
-1.0000, -1.0000, 0.2691, 0.0000, 0.1108, 1.0000, 0.0867, 1.0000, 0.0056, 0.0081, 0.1023, 0.1059, 0.0079, 0.0079
65.0000, -1.0000, 0.2457, 0.0000, 0.0792, 1.0000, 0.1077, 1.0000, 0.0051, 0.0083, 0.1276, 0.0680, 0.0079, 0.0078
51.0000, 66.0000, 0.2358, 0.0000, 0.2253, 0.0000, 0.1357, 1.0000, 0.0051, 0.0107, 0.0727, 0.0808, 0.0079, 0.0078
73.0000, -1.0000, 0.2377, 0.0000, 0.1888, 1.0000, 0.1953, 1.0000, 0.0086, 0.0041, 0.0983, 0.1373, 0.0078, 0.0078
85.0000, 59.0000, 0.3031, 0.0000, 0.1661, 1.0000, 0.2103, 0.0000, 0.0104, 0.0051, 0.1113, 0.1169, 0.0078, 0.0079
-1.0000, 57.0000, 0.2823, 0.0000, 0.2191, 0.0000, 0.1300, 1.0000, 0.0058, 0.0056, 0.0511, 0.0374, 0.0078, 0.0080
68.0000, 60.0000, 0.3003, 0.0000, 0.1704, 1.0000, 0.2038, 0.0000, 0.0091, 0.0052, 0.0833, 0.0856, 0.0078, 0.0079
65.0000, 63.0000, 0.2823, 0.0000, 0.2381, 0.0000, 0.1933, 1.0000, 0.0081, 0.0052, 0.0104, 0.0366, 0.0077, 0.0078
65.0000, 59.0000, 0.2974, 0.0000, 0.1906, 1.0000, 0.2020, 0.0000, 0.0080, 0.0048, 0.0537, 0.0553, 0.0077, 0.0079
