# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
82.0000, 73.0000, 0.2128, 0.0000, 0.1942, 1.0000, 0.1611, 1.0000, 0.0094, 0.0085, 0.0244, 0.0227, 0.0038, 0.0064
-1.0000, 82.0000, 0.2154, 0.0000, 0.2397, 0.0000, 0.2034, 0.0000, 0.0076, 0.0082, 0.0351, 0.0536, 0.0026, 0.0056
-1.0000, 78.0000, 0.2090, 0.0000, 0.2162, 0.0000, 0.2260, 0.0000, 0.0069, 0.0086, 0.0919, 0.0903, 0.0026, 0.0056
86.0000, 75.0000, 0.2169, 0.0000, 0.1968, 1.0000, 0.1482, 1.0000, 0.0092, 0.0083, 0.0399, 0.0663, 0.0027, 0.0059
93.0000, 81.0000, 0.2051, 0.0000, 0.2069, 0.0000, 0.2050, 0.0000, 0.0071, 0.0077, 0.0868, 0.0961, 0.0026, 0.0055
-1.0000, 73.0000, 0.2141, 0.0000, 0.2130, 0.0000, 0.1407, 1.0000, 0.0067, 0.0085, 0.0787, 0.1015, 0.0028, 0.0060
77.0000, 78.0000, 0.2035, 0.0000, 0.1334, 1.0000, 0.1861, 1.0000, 0.0076, 0.0083, 0.1223, 0.0991, 0.0027, 0.0056
-1.0000, 59.0000, 0.2080, 0.0000, 0.2221, 0.0000, 0.0951, 1.0000, 0.0101, 0.0094, 0.0717, 0.0878, 0.0026, 0.0056
-1.0000, 70.0000, 0.2226, 0.0000, 0.2087, 0.0000, 0.1860, 1.0000, 0.0078, 0.0092, 0.0846, 0.0556, 0.0027, 0.0058
96.0000, 74.0000, 0.2235, 0.0000, 0.2309, 0.0000, 0.2254, 0.0000, 0.0070, 0.0089, 0.1156, 0.1002, 0.0026, 0.0056
74.0000, 65.0000, 0.2193, 0.0000, 0.1816, 1.0000, 0.1568, 1.0000, 0.0099, 0.0096, 0.0350, 0.0247, 0.0026, 0.0057
-1.0000, 73.0000, 0.2240, 0.0000, 0.2378, 0.0000, 0.2019, 0.0000, 0.0070, 0.0093, 0.0636, 0.0608, 0.0026, 0.0056
78.0000, 65.0000, 0.1994, 1.0000, 0.1991, 1.0000, 0.1581, 1.0000, 0.0090, 0.0099, 0.0342, 0.0527, 0.0027, 0.0058
-1.0000, 67.0000, 0.2149, 0.0000, 0.2387, 0.0000, 0.1605, 1.0000, 0.0068, 0.0098, 0.0419, 0.0632, 0.0026, 0.0056
