# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
73.0000, 80.0000, 0.2697, 0.0000, 0.2298, 0.0000, 0.2054, 0.0000, 0.0080, 0.0098, 0.0172, 0.0094, 0.0041, 0.0070
83.0000, 75.0000, 0.2045, 0.0000, 0.2379, 0.0000, 0.2264, 0.0000, 0.0082, 0.0080, 0.0282, 0.0515, 0.0029, 0.0063
-1.0000, 80.0000, 0.2001, 0.0000, 0.1776, 1.0000, 0.1906, 1.0000, 0.0074, 0.0076, 0.1084, 0.0973, 0.0030, 0.0064
70.0000, 77.0000, 0.2873, 0.0000, 0.2392, 0.0000, 0.2234, 0.0000, 0.0080, 0.0082, 0.0427, 0.0544, 0.0029, 0.0062
72.0000, 78.0000, 0.3707, 0.0000, 0.2300, 0.0000, 0.1851, 1.0000, 0.0078, 0.0076, 0.0773, 0.1243, 0.0029, 0.0062
71.0000, 78.0000, 0.2486, 0.0000, 0.2452, 0.0000, 0.2326, 0.0000, 0.0078, 0.0100, 0.0883, 0.1010, 0.0030, 0.0064
73.0000, 79.0000, 0.2153, 0.0000, 0.2033, 0.0000, 0.2392, 0.0000, 0.0077, 0.0097, 0.0952, 0.1259, 0.0029, 0.0063
68.0000, 74.0000, 0.2980, 0.0000, 0.1795, 1.0000, 0.2026, 0.0000, 0.0087, 0.0115, 0.0596, 0.0393, 0.0029, 0.0062
65.0000, 71.0000, 0.3180, 0.0000, 0.1707, 1.0000, 0.2137, 0.0000, 0.0091, 0.0107, 0.0851, 0.0543, 0.0029, 0.0063
69.0000, 76.0000, 0.2274, 0.0000, 0.2335, 0.0000, 0.1986, 1.0000, 0.0091, 0.0113, 0.0808, 0.1070, 0.0029, 0.0063
62.0000, 70.0000, 0.2963, 0.0000, 0.2271, 0.0000, 0.1965, 1.0000, 0.0091, 0.0088, 0.0232, 0.0109, 0.0029, 0.0061
64.0000, 72.0000, 0.4283, 0.0000, 0.1891, 1.0000, 0.2378, 0.0000, 0.0088, 0.0079, 0.0513, 0.0661, 0.0030, 0.0062
61.0000, 69.0000, 0.2870, 0.0000, 0.2328, 0.0000, 0.2195, 0.0000, 0.0094, 0.0083, 0.0318, 0.0542, 0.0029, 0.0062
63.0000, 70.0000, 0.3974, 0.0000, 0.2047, 0.0000, 0.2467, 0.0000, 0.0090, 0.0082, 0.0492, 0.0785, 0.0029, 0.0060
77.0000, 87.0000, 0.1542, 1.0000, 0.1720, 1.0000, 0.1658, 1.0000, 0.0082, 0.0080, 0.0545, 0.0356, 0.0030, 0.0063
73.0000, 79.0000, 0.2952, 0.0000, 0.2232, 0.0000, 0.2172, 0.0000, 0.0079, 0.0086, 0.0249, 0.0650, 0.0030, 0.0065
76.0000, 80.0000, 0.3140, 0.0000, 0.2447, 0.0000, 0.1424, 1.0000, 0.0076, 0.0089, 0.0599, 0.1242, 0.0029, 0.0062
73.0000, 80.0000, 0.2844, 0.0000, 0.2209, 0.0000, 0.2342, 0.0000, 0.0080, 0.0081, 0.0430, 0.0536, 0.0029, 0.0062
