# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
74.0000, 80.0000, 0.2449, 0.0000, 0.2333, 0.0000, 0.1982, 1.0000, 0.0076, 0.0117, 0.0243, 0.0132, 0.0041, 0.0071
87.0000, 80.0000, 0.2083, 0.0000, 0.1514, 1.0000, 0.2215, 0.0000, 0.0086, 0.0077, 0.0456, 0.0458, 0.0029, 0.0062
86.0000, 80.0000, 0.3065, 0.0000, 0.0171, 1.0000, 0.1934, 1.0000, 0.0104, 0.0075, 0.1163, 0.0901, 0.0029, 0.0063
-1.0000, -1.0000, 0.2050, 0.0000, 0.2287, 0.0000, 0.1085, 1.0000, 0.0069, 0.0069, 0.0655, 0.0907, 0.0030, 0.0066
88.0000, 82.0000, 0.2878, 0.0000, 0.0405, 1.0000, 0.1680, 1.0000, 0.0093, 0.0074, 0.1228, 0.0962, 0.0029, 0.0064
85.0000, 78.0000, 0.1991, 1.0000, 0.1816, 1.0000, 0.1816, 1.0000, 0.0076, 0.0089, 0.0914, 0.0896, 0.0030, 0.0066
88.0000, 80.0000, 0.3105, 0.0000, 0.0844, 1.0000, 0.1602, 1.0000, 0.0077, 0.0073, 0.1180, 0.1110, 0.0029, 0.0062
74.0000, 72.0000, 0.1658, 1.0000, 0.2339, 0.0000, 0.1874, 1.0000, 0.0117, 0.0091, 0.0644, 0.0535, 0.0029, 0.0061
71.0000, 63.0000, 0.2873, 0.0000, 0.1556, 1.0000, 0.2259, 0.0000, 0.0120, 0.0089, 0.0772, 0.0595, 0.0029, 0.0063
73.0000, 64.0000, 0.3249, 0.0000, 0.0939, 1.0000, 0.2375, 0.0000, 0.0123, 0.0088, 0.1055, 0.0973, 0.0028, 0.0061
76.0000, 68.0000, 0.1796, 1.0000, 0.1741, 1.0000, 0.1521, 1.0000, 0.0104, 0.0097, 0.0276, 0.0252, 0.0029, 0.0062
71.0000, 64.0000, 0.3300, 0.0000, 0.0872, 1.0000, 0.2232, 0.0000, 0.0120, 0.0087, 0.0681, 0.0520, 0.0029, 0.0063
73.0000, 73.0000, 0.2101, 0.0000, 0.1982, 1.0000, 0.1987, 1.0000, 0.0087, 0.0082, 0.0304, 0.0395, 0.0028, 0.0062
69.0000, 63.0000, 0.3455, 0.0000, 0.1269, 1.0000, 0.2326, 0.0000, 0.0102, 0.0085, 0.0679, 0.0653, 0.0029, 0.0061
79.0000, 81.0000, 0.2279, 0.0000, 0.2144, 0.0000, 0.1956, 1.0000, 0.0073, 0.0095, 0.0254, 0.0107, 0.0030, 0.0065
79.0000, 77.0000, 0.2617, 0.0000, 0.1820, 1.0000, 0.2199, 0.0000, 0.0071, 0.0091, 0.0432, 0.0421, 0.0029, 0.0062
84.0000, 79.0000, 0.2239, 0.0000, 0.1871, 1.0000, 0.2332, 0.0000, 0.0066, 0.0088, 0.0840, 0.0877, 0.0028, 0.0061
82.0000, 80.0000, 0.2097, 0.0000, 0.1910, 1.0000, 0.1827, 1.0000, 0.0067, 0.0087, 0.0335, 0.0549, 0.0030, 0.0064
79.0000, 79.0000, 0.2022, 0.0000, 0.2183, 0.0000, 0.1837, 1.0000, 0.0074, 0.0095, 0.0762, 0.0999, 0.0029, 0.0062
76.0000, 76.0000, 0.2234, 0.0000, 0.2161, 0.0000, 0.2027, 0.0000, 0.0070, 0.0085, 0.0666, 0.0982, 0.0029, 0.0061
80.0000, 78.0000, 0.2022, 0.0000, 0.1821, 1.0000, 0.1778, 1.0000, 0.0071, 0.0094, 0.0910, 0.1166, 0.0030, 0.0063
66.0000, 73.0000, 0.2342, 0.0000, 0.2266, 0.0000, 0.1894, 1.0000, 0.0086, 0.0105, 0.0691, 0.0609, 0.0030, 0.0061
