# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, 73.0000, 0.2056, 0.0000, 0.1149, 1.0000, 0.1555, 1.0000, 0.0115, 0.0086, 0.0626, 0.0147, 0.0048, 0.0045
-1.0000, 72.0000, 0.2856, 0.0000, 0.1424, 1.0000, 0.2070, 0.0000, 0.0082, 0.0079, 0.0393, 0.0552, 0.0036, 0.0037
-1.0000, -1.0000, 0.3093, 0.0000, 0.0177, 1.0000, 0.1947, 1.0000, 0.0100, 0.0067, 0.1332, 0.1147, 0.0036, 0.0035
-1.0000, 74.0000, 0.1990, 1.0000, 0.1161, 1.0000, 0.1263, 1.0000, 0.0090, 0.0087, 0.0623, 0.0584, 0.0035, 0.0037
-1.0000, 75.0000, 0.3091, 0.0000, 0.0848, 1.0000, 0.1806, 1.0000, 0.0088, 0.0076, 0.0956, 0.0997, 0.0035, 0.0035
-1.0000, 74.0000, 0.2167, 0.0000, 0.1255, 1.0000, 0.0989, 1.0000, 0.0077, 0.0091, 0.0874, 0.1000, 0.0035, 0.0037
-1.0000, 74.0000, 0.2555, 0.0000, 0.0342, 1.0000, 0.1082, 1.0000, 0.0093, 0.0085, 0.1099, 0.1100, 0.0035, 0.0036
-1.0000, 68.0000, 0.2131, 0.0000, 0.1749, 1.0000, 0.1935, 1.0000, 0.0084, 0.0093, 0.0667, 0.0392, 0.0035, 0.0036
-1.0000, 63.0000, 0.2719, 0.0000, 0.1376, 1.0000, 0.2265, 0.0000, 0.0089, 0.0091, 0.0645, 0.0675, 0.0034, 0.0035
-1.0000, 66.0000, 0.3255, 0.0000, 0.0912, 1.0000, 0.2394, 0.0000, 0.0094, 0.0087, 0.1133, 0.0970, 0.0036, 0.0036
-1.0000, 66.0000, 0.2079, 0.0000, 0.1779, 1.0000, 0.1831, 1.0000, 0.0085, 0.0095, 0.0439, 0.0109, 0.0035, 0.0037
-1.0000, 64.0000, 0.3037, 0.0000, 0.1068, 1.0000, 0.2109, 0.0000, 0.0084, 0.0085, 0.0618, 0.0641, 0.0035, 0.0035
96.0000, 62.0000, 0.2718, 0.0000, 0.1787, 1.0000, 0.2030, 0.0000, 0.0079, 0.0091, 0.0469, 0.0455, 0.0035, 0.0035
-1.0000, 64.0000, 0.3193, 0.0000, 0.1106, 1.0000, 0.1762, 1.0000, 0.0075, 0.0085, 0.0499, 0.0694, 0.0037, 0.0036
-1.0000, 73.0000, 0.2100, 0.0000, 0.1112, 1.0000, 0.1599, 1.0000, 0.0098, 0.0092, 0.0633, 0.0111, 0.0036, 0.0037
-1.0000, 73.0000, 0.2890, 0.0000, 0.1224, 1.0000, 0.2115, 0.0000, 0.0089, 0.0079, 0.0346, 0.0486, 0.0035, 0.0035
-1.0000, -1.0000, 0.3256, 0.0000, 0.0229, 1.0000, 0.2030, 0.0000, 0.0093, 0.0066, 0.1257, 0.1169, 0.0036, 0.0035
-1.0000, 75.0000, 0.1979, 1.0000, 0.1198, 1.0000, 0.1265, 1.0000, 0.0086, 0.0087, 0.0578, 0.0534, 0.0035, 0.0036
-1.0000, 77.0000, 0.2800, 0.0000, 0.0732, 1.0000, 0.1761, 1.0000, 0.0090, 0.0074, 0.0961, 0.0959, 0.0036, 0.0035
-1.0000, 70.0000, 0.2640, 0.0000, 0.1233, 1.0000, 0.1280, 1.0000, 0.0076, 0.0090, 0.0887, 0.0938, 0.0035, 0.0036
-1.0000, 73.0000, 0.2714, 0.0000, 0.0473, 1.0000, 0.1213, 1.0000, 0.0086, 0.0087, 0.1065, 0.1058, 0.0035, 0.0035
62.0000, 84.0000, 0.2696, 0.0000, 0.2139, 0.0000, 0.1909, 1.0000, 0.0089, 0.0130, 0.0692, 0.0586, 0.0036, 0.0036
-1.0000, 66.0000, 0.2728, 0.0000, 0.1651, 1.0000, 0.2078, 0.0000, 0.0088, 0.0090, 0.0679, 0.0720, 0.0035, 0.0036
-1.0000, 65.0000, 0.3305, 0.0000, 0.1904, 1.0000, 0.2287, 0.0000, 0.0092, 0.0089, 0.1154, 0.1056, 0.0035, 0.0035
91.0000, 65.0000, 0.2102, 0.0000, 0.1974, 1.0000, 0.1842, 1.0000, 0.0085, 0.0097, 0.0348, 0.0116, 0.0035, 0.0037
86.0000, 65.0000, 0.2681, 0.0000, 0.2069, 0.0000, 0.2142, 0.0000, 0.0097, 0.0086, 0.0501, 0.0630, 0.0036, 0.0036
95.0000, 63.0000, 0.2786, 0.0000, 0.1925, 1.0000, 0.1952, 1.0000, 0.0081, 0.0090, 0.0439, 0.0462, 0.0036, 0.0036
-1.0000, 64.0000, 0.3010, 0.0000, 0.1692, 1.0000, 0.1738, 1.0000, 0.0074, 0.0086, 0.0349, 0.0667, 0.0035, 0.0035
-1.0000, 67.0000, 0.2271, 0.0000, 0.1453, 1.0000, 0.1857, 1.0000, 0.0057, 0.0054, 0.0416, 0.0142, 0.0044, 0.0037
-1.0000, 63.0000, 0.2971, 0.0000, 0.1432, 1.0000, 0.2154, 0.0000, 0.0065, 0.0041, 0.0401, 0.0572, 0.0036, 0.0036
-1.0000, -1.0000, 0.2943, 0.0000, 0.0214, 1.0000, 0.1869, 1.0000, 0.0085, 0.0042, 0.1891, 0.1247, 0.0036, 0.0035
-1.0000, 63.0000, 0.2674, 0.0000, 0.1579, 1.0000, 0.2098, 0.0000, 0.0066, 0.0043, 0.0535, 0.0471, 0.0035, 0.0035
-1.0000, 66.0000, 0.2997, 0.0000, 0.0890, 1.0000, 0.1906, 1.0000, 0.0069, 0.0043, 0.0994, 0.0970, 0.0035, 0.0035
-1.0000, 63.0000, 0.2689, 0.0000, 0.1635, 1.0000, 0.1783, 1.0000, 0.0057, 0.0044, 0.0778, 0.0714, 0.0036, 0.0036
-1.0000, 65.0000, 0.2801, 0.0000, 0.0878, 1.0000, 0.1715, 1.0000, 0.0068, 0.0041, 0.0789, 0.0989, 0.0035, 0.0035
-1.0000, 60.0000, 0.2235, 0.0000, 0.1652, 1.0000, 0.2102, 0.0000, 0.0055, 0.0057, 0.0594, 0.0332, 0.0035, 0.0036
-1.0000, 57.0000, 0.2800, 0.0000, 0.0759, 1.0000, 0.2277, 0.0000, 0.0070, 0.0049, 0.0693, 0.0575, 0.0035, 0.0035
-1.0000, -1.0000, 0.2906, 0.0000, 0.0293, 1.0000, 0.2224, 0.0000, 0.0093, 0.0042, 0.2100, 0.1237, 0.0036, 0.0036
-1.0000, 64.0000, 0.2457, 0.0000, 0.1284, 1.0000, 0.1755, 1.0000, 0.0057, 0.0051, 0.0445, 0.0110, 0.0035, 0.0037
-1.0000, 55.0000, 0.2864, 0.0000, 0.1251, 1.0000, 0.2197, 0.0000, 0.0068, 0.0048, 0.0668, 0.0729, 0.0035, 0.0035
-1.0000, 54.0000, 0.2261, 0.0000, 0.1398, 1.0000, 0.2041, 0.0000, 0.0071, 0.0050, 0.0723, 0.0410, 0.0036, 0.0036
-1.0000, 55.0000, 0.2888, 0.0000, 0.1394, 1.0000, 0.2083, 0.0000, 0.0065, 0.0048, 0.0364, 0.0672, 0.0036, 0.0035
-1.0000, 67.0000, 0.2132, 0.0000, 0.1573, 1.0000, 0.1840, 1.0000, 0.0052, 0.0050, 0.0435, 0.0169, 0.0035, 0.0037
-1.0000, 62.0000, 0.2929, 0.0000, 0.1805, 1.0000, 0.2162, 0.0000, 0.0064, 0.0041, 0.0367, 0.0505, 0.0035, 0.0035
-1.0000, 76.0000, 0.3037, 0.0000, 0.0898, 1.0000, 0.2163, 0.0000, 0.0072, 0.0042, 0.1074, 0.1081, 0.0036, 0.0035
-1.0000, -1.0000, 0.2230, 0.0000, 0.1013, 1.0000, 0.1727, 1.0000, 0.0033, 0.0052, 0.0292, 0.0563, 0.0036, 0.0036
-1.0000, 64.0000, 0.3129, 0.0000, 0.1275, 1.0000, 0.2131, 0.0000, 0.0064, 0.0042, 0.0824, 0.0896, 0.0035, 0.0035
-1.0000, 87.0000, 0.2617, 0.0000, 0.0349, 1.0000, 0.1654, 1.0000, 0.0052, 0.0079, 0.0782, 0.0596, 0.0035, 0.0035
-1.0000, 63.0000, 0.2931, 0.0000, 0.1292, 1.0000, 0.1794, 1.0000, 0.0063, 0.0041, 0.0613, 0.0888, 0.0036, 0.0036
68.0000, 57.0000, 0.2388, 0.0000, 0.2131, 0.0000, 0.2067, 0.0000, 0.0081, 0.0056, 0.0665, 0.0543, 0.0036, 0.0036
93.0000, 53.0000, 0.2653, 0.0000, 0.1964, 1.0000, 0.2267, 0.0000, 0.0072, 0.0047, 0.0788, 0.0847, 0.0035, 0.0035
65.0000, 55.0000, 0.3107, 0.0000, 0.2120, 0.0000, 0.2304, 0.0000, 0.0100, 0.0047, 0.0983, 0.1111, 0.0035, 0.0035
63.0000, 54.0000, 0.2492, 0.0000, 0.2258, 0.0000, 0.2078, 0.0000, 0.0089, 0.0053, 0.0396, 0.0181, 0.0036, 0.0037
65.0000, 55.0000, 0.2975, 0.0000, 0.2126, 0.0000, 0.2276, 0.0000, 0.0093, 0.0048, 0.0584, 0.0753, 0.0036, 0.0035
71.0000, 54.0000, 0.2962, 0.0000, 0.2109, 0.0000, 0.1604, 1.0000, 0.0075, 0.0049, 0.0217, 0.0323, 0.0036, 0.0037
60.0000, 54.0000, 0.3045, 0.0000, 0.2404, 0.0000, 0.1954, 1.0000, 0.0091, 0.0049, 0.0262, 0.0640, 0.0036, 0.0035
