# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.2906, 0.0000, 0.0439, 1.0000, 0.0845, 1.0000, 0.0066, 0.0110, 0.0562, 0.1943, 0.0078, 0.0058
-1.0000, 99.0000, 0.2859, 0.0000, 0.1090, 1.0000, 0.1142, 1.0000, 0.0067, 0.0119, 0.0336, 0.0559, 0.0057, 0.0057
-1.0000, 89.0000, 0.1788, 1.0000, 0.1185, 1.0000, 0.2270, 0.0000, 0.0072, 0.0094, 0.0808, 0.0959, 0.0057, 0.0058
-1.0000, -1.0000, 0.3289, 0.0000, 0.0277, 1.0000, 0.0091, 1.0000, 0.0090, 0.0071, 0.6122, 0.1096, 0.0060, 0.0062
-1.0000, 87.0000, 0.2248, 0.0000, 0.0418, 1.0000, 0.1050, 1.0000, 0.0086, 0.0078, 0.2400, 0.1162, 0.0058, 0.0058
-1.0000, -1.0000, 0.2006, 0.0000, 0.0836, 1.0000, 0.0322, 1.0000, 0.0073, 0.0084, 0.1186, 0.2136, 0.0058, 0.0058
-1.0000, 85.0000, 0.2003, 0.0000, 0.0812, 1.0000, 0.1610, 1.0000, 0.0067, 0.0084, 0.1072, 0.0978, 0.0059, 0.0058
62.0000, 73.0000, 0.2848, 0.0000, 0.2356, 0.0000, 0.2026, 0.0000, 0.0088, 0.0123, 0.0628, 0.0484, 0.0057, 0.0057
62.0000, 69.0000, 0.2930, 0.0000, 0.2252, 0.0000, 0.2199, 0.0000, 0.0089, 0.0114, 0.0720, 0.0601, 0.0057, 0.0057
64.0000, 70.0000, 0.3009, 0.0000, 0.2367, 0.0000, 0.2202, 0.0000, 0.0088, 0.0117, 0.0827, 0.1031, 0.0058, 0.0058
62.0000, 78.0000, 0.2743, 0.0000, 0.2160, 0.0000, 0.1675, 1.0000, 0.0093, 0.0120, 0.0227, 0.0169, 0.0057, 0.0057
64.0000, 70.0000, 0.3654, 0.0000, 0.2216, 0.0000, 0.2448, 0.0000, 0.0091, 0.0094, 0.0431, 0.0609, 0.0059, 0.0059
80.0000, -1.0000, 0.1818, 1.0000, 0.1837, 1.0000, 0.1353, 1.0000, 0.0108, 0.0069, 0.0518, 0.0588, 0.0057, 0.0059
80.0000, 69.0000, 0.2028, 0.0000, 0.1786, 1.0000, 0.1702, 1.0000, 0.0092, 0.0081, 0.0554, 0.0719, 0.0057, 0.0058
-1.0000, -1.0000, 0.3112, 0.0000, 0.0156, 1.0000, 0.0133, 1.0000, 0.0092, 0.0064, 0.1778, 0.1116, 0.0059, 0.0061
86.0000, 77.0000, 0.2169, 0.0000, 0.1897, 1.0000, 0.1798, 1.0000, 0.0081, 0.0084, 0.0383, 0.0579, 0.0057, 0.0058
80.0000, 74.0000, 0.2692, 0.0000, 0.2126, 0.0000, 0.2449, 0.0000, 0.0102, 0.0085, 0.0743, 0.0964, 0.0058, 0.0058
-1.0000, -1.0000, 0.3229, 0.0000, 0.0111, 1.0000, 0.0501, 1.0000, 0.0091, 0.0067, 0.2335, 0.1011, 0.0058, 0.0060
-1.0000, 83.0000, 0.2396, 0.0000, 0.1315, 1.0000, 0.1809, 1.0000, 0.0078, 0.0080, 0.0865, 0.1027, 0.0057, 0.0057
-1.0000, -1.0000, 0.2742, 0.0000, 0.0287, 1.0000, 0.0401, 1.0000, 0.0078, 0.0067, 0.2024, 0.0872, 0.0058, 0.0061
-1.0000, 92.0000, 0.2763, 0.0000, 0.0058, 1.0000, 0.1033, 1.0000, 0.0081, 0.0074, 0.1873, 0.1155, 0.0057, 0.0057
63.0000, 71.0000, 0.2709, 0.0000, 0.2242, 0.0000, 0.2131, 0.0000, 0.0089, 0.0124, 0.0717, 0.0542, 0.0058, 0.0058
62.0000, 69.0000, 0.2797, 0.0000, 0.2279, 0.0000, 0.2332, 0.0000, 0.0088, 0.0115, 0.0887, 0.0682, 0.0058, 0.0058
70.0000, 65.0000, 0.2663, 0.0000, 0.2398, 0.0000, 0.2334, 0.0000, 0.0114, 0.0086, 0.0922, 0.1068, 0.0057, 0.0057
60.0000, 77.0000, 0.2651, 0.0000, 0.2245, 0.0000, 0.1765, 1.0000, 0.0094, 0.0124, 0.0315, 0.0189, 0.0059, 0.0059
61.0000, 68.0000, 0.3394, 0.0000, 0.2387, 0.0000, 0.2335, 0.0000, 0.0090, 0.0101, 0.0509, 0.0633, 0.0057, 0.0057
69.0000, -1.0000, 0.2293, 0.0000, 0.2170, 0.0000, 0.1657, 1.0000, 0.0093, 0.0061, 0.0323, 0.0532, 0.0057, 0.0058
66.0000, 62.0000, 0.2826, 0.0000, 0.2273, 0.0000, 0.2165, 0.0000, 0.0094, 0.0088, 0.0444, 0.0692, 0.0059, 0.0059
68.0000, 61.0000, 0.2565, 0.0000, 0.2094, 0.0000, 0.2345, 0.0000, 0.0088, 0.0041, 0.0365, 0.0107, 0.0057, 0.0058
67.0000, 62.0000, 0.2584, 0.0000, 0.2362, 0.0000, 0.2435, 0.0000, 0.0082, 0.0041, 0.0248, 0.0614, 0.0058, 0.0059
69.0000, 64.0000, 0.2505, 0.0000, 0.2225, 0.0000, 0.2320, 0.0000, 0.0084, 0.0045, 0.0783, 0.1175, 0.0058, 0.0058
66.0000, 62.0000, 0.3026, 0.0000, 0.2418, 0.0000, 0.2122, 0.0000, 0.0067, 0.0043, 0.0359, 0.0475, 0.0057, 0.0057
67.0000, 62.0000, 0.2580, 0.0000, 0.2339, 0.0000, 0.2314, 0.0000, 0.0076, 0.0045, 0.0751, 0.1144, 0.0059, 0.0059
66.0000, 60.0000, 0.2641, 0.0000, 0.2455, 0.0000, 0.2452, 0.0000, 0.0068, 0.0042, 0.0734, 0.0843, 0.0058, 0.0058
67.0000, 62.0000, 0.2622, 0.0000, 0.2476, 0.0000, 0.2282, 0.0000, 0.0072, 0.0046, 0.0789, 0.1132, 0.0058, 0.0059
60.0000, 53.0000, 0.2522, 0.0000, 0.2101, 0.0000, 0.2300, 0.0000, 0.0102, 0.0048, 0.0702, 0.0315, 0.0058, 0.0058
60.0000, 55.0000, 0.2659, 0.0000, 0.2290, 0.0000, 0.2361, 0.0000, 0.0099, 0.0047, 0.0707, 0.0558, 0.0057, 0.0057
61.0000, 55.0000, 0.2635, 0.0000, 0.2305, 0.0000, 0.2421, 0.0000, 0.0097, 0.0047, 0.0772, 0.1000, 0.0059, 0.0059
59.0000, 52.0000, 0.2532, 0.0000, 0.2150, 0.0000, 0.2252, 0.0000, 0.0101, 0.0048, 0.0393, 0.0066, 0.0057, 0.0058
59.0000, 53.0000, 0.2478, 0.0000, 0.2345, 0.0000, 0.2463, 0.0000, 0.0097, 0.0047, 0.0350, 0.0741, 0.0058, 0.0058
57.0000, 52.0000, 0.2694, 0.0000, 0.2366, 0.0000, 0.2265, 0.0000, 0.0087, 0.0048, 0.0232, 0.0346, 0.0059, 0.0059
57.0000, 53.0000, 0.2487, 0.0000, 0.2397, 0.0000, 0.2444, 0.0000, 0.0090, 0.0049, 0.0340, 0.0688, 0.0057, 0.0058
-1.0000, 64.0000, 0.2325, 0.0000, 0.1726, 1.0000, 0.1826, 1.0000, 0.0056, 0.0039, 0.1243, 0.0300, 0.0058, 0.0059
62.0000, 70.0000, 0.2464, 0.0000, 0.2077, 0.0000, 0.2121, 0.0000, 0.0046, 0.0077, 0.0602, 0.0740, 0.0058, 0.0058
72.0000, 78.0000, 0.2420, 0.0000, 0.2423, 0.0000, 0.1838, 1.0000, 0.0085, 0.0042, 0.0537, 0.1305, 0.0057, 0.0058
71.0000, 63.0000, 0.2601, 0.0000, 0.2049, 0.0000, 0.2249, 0.0000, 0.0088, 0.0042, 0.0477, 0.0429, 0.0059, 0.0059
63.0000, 77.0000, 0.2116, 0.0000, 0.2162, 0.0000, 0.1532, 1.0000, 0.0055, 0.0079, 0.0664, 0.1219, 0.0058, 0.0058
66.0000, 60.0000, 0.2762, 0.0000, 0.2432, 0.0000, 0.2453, 0.0000, 0.0069, 0.0042, 0.0599, 0.0732, 0.0058, 0.0059
68.0000, 67.0000, 0.2692, 0.0000, 0.2389, 0.0000, 0.2197, 0.0000, 0.0073, 0.0045, 0.0634, 0.1050, 0.0058, 0.0058
62.0000, 63.0000, 0.2270, 0.0000, 0.2140, 0.0000, 0.2180, 0.0000, 0.0102, 0.0047, 0.0753, 0.0667, 0.0058, 0.0058
62.0000, 55.0000, 0.2549, 0.0000, 0.2270, 0.0000, 0.2237, 0.0000, 0.0100, 0.0047, 0.0889, 0.0808, 0.0059, 0.0060
62.0000, 55.0000, 0.2899, 0.0000, 0.2366, 0.0000, 0.2237, 0.0000, 0.0100, 0.0047, 0.0959, 0.1151, 0.0058, 0.0058
62.0000, 53.0000, 0.2480, 0.0000, 0.2042, 0.0000, 0.2381, 0.0000, 0.0099, 0.0048, 0.0600, 0.0158, 0.0058, 0.0059
60.0000, 54.0000, 0.2612, 0.0000, 0.2400, 0.0000, 0.2423, 0.0000, 0.0099, 0.0047, 0.0619, 0.0622, 0.0058, 0.0059
58.0000, 52.0000, 0.2648, 0.0000, 0.2184, 0.0000, 0.2359, 0.0000, 0.0098, 0.0048, 0.0347, 0.0286, 0.0058, 0.0058
58.0000, 53.0000, 0.2657, 0.0000, 0.2336, 0.0000, 0.2386, 0.0000, 0.0095, 0.0049, 0.0282, 0.0552, 0.0059, 0.0059
