# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, 85.0000, 0.2391, 0.0000, 0.2232, 0.0000, 0.1635, 1.0000, 0.0060, 0.0121, 0.0407, 0.0174, 0.0076, 0.0064
74.0000, 77.0000, 0.3056, 0.0000, 0.2220, 0.0000, 0.2242, 0.0000, 0.0080, 0.0099, 0.0344, 0.0465, 0.0064, 0.0064
75.0000, 77.0000, 0.2920, 0.0000, 0.2212, 0.0000, 0.2368, 0.0000, 0.0085, 0.0094, 0.0789, 0.0987, 0.0064, 0.0064
78.0000, 84.0000, 0.2813, 0.0000, 0.2115, 0.0000, 0.1824, 1.0000, 0.0075, 0.0109, 0.0390, 0.0478, 0.0064, 0.0064
88.0000, 73.0000, 0.2773, 0.0000, 0.1778, 1.0000, 0.2320, 0.0000, 0.0097, 0.0080, 0.0846, 0.0968, 0.0064, 0.0064
83.0000, 79.0000, 0.2211, 0.0000, 0.2054, 0.0000, 0.2035, 0.0000, 0.0074, 0.0097, 0.0846, 0.0899, 0.0064, 0.0064
82.0000, 82.0000, 0.1585, 1.0000, 0.1929, 1.0000, 0.2276, 0.0000, 0.0100, 0.0083, 0.0857, 0.1097, 0.0065, 0.0073
60.0000, 74.0000, 0.2771, 0.0000, 0.2250, 0.0000, 0.1970, 1.0000, 0.0091, 0.0132, 0.0624, 0.0438, 0.0065, 0.0065
69.0000, 73.0000, 0.2902, 0.0000, 0.2175, 0.0000, 0.2053, 0.0000, 0.0087, 0.0118, 0.0719, 0.0558, 0.0064, 0.0065
65.0000, 69.0000, 0.2968, 0.0000, 0.2206, 0.0000, 0.2421, 0.0000, 0.0093, 0.0107, 0.0926, 0.0948, 0.0064, 0.0065
60.0000, 82.0000, 0.2431, 0.0000, 0.2305, 0.0000, 0.1894, 1.0000, 0.0090, 0.0129, 0.0237, 0.0235, 0.0064, 0.0064
67.0000, 68.0000, 0.3018, 0.0000, 0.2175, 0.0000, 0.2317, 0.0000, 0.0089, 0.0110, 0.0480, 0.0571, 0.0064, 0.0064
69.0000, 73.0000, 0.2783, 0.0000, 0.2138, 0.0000, 0.1967, 1.0000, 0.0086, 0.0113, 0.0345, 0.0427, 0.0065, 0.0065
72.0000, 70.0000, 0.2542, 0.0000, 0.2070, 0.0000, 0.2193, 0.0000, 0.0086, 0.0107, 0.0425, 0.0639, 0.0065, 0.0065
69.0000, 86.0000, 0.2499, 0.0000, 0.2306, 0.0000, 0.1708, 1.0000, 0.0080, 0.0121, 0.0270, 0.0167, 0.0065, 0.0065
74.0000, 77.0000, 0.3031, 0.0000, 0.2220, 0.0000, 0.2199, 0.0000, 0.0080, 0.0101, 0.0288, 0.0421, 0.0065, 0.0065
76.0000, 77.0000, 0.2741, 0.0000, 0.2174, 0.0000, 0.2410, 0.0000, 0.0085, 0.0095, 0.0728, 0.0916, 0.0065, 0.0065
-1.0000, -1.0000, 0.3407, 0.0000, 0.2065, 0.0000, 0.1407, 1.0000, 0.0067, 0.0118, 0.0542, 0.0860, 0.0065, 0.0065
87.0000, 82.0000, 0.2029, 0.0000, 0.1916, 1.0000, 0.2301, 0.0000, 0.0078, 0.0089, 0.0718, 0.0883, 0.0066, 0.0066
69.0000, 75.0000, 0.2890, 0.0000, 0.2443, 0.0000, 0.2349, 0.0000, 0.0081, 0.0080, 0.0716, 0.0996, 0.0065, 0.0065
69.0000, 75.0000, 0.3522, 0.0000, 0.2339, 0.0000, 0.2491, 0.0000, 0.0084, 0.0080, 0.0841, 0.1226, 0.0067, 0.0067
63.0000, 72.0000, 0.2673, 0.0000, 0.2271, 0.0000, 0.2025, 0.0000, 0.0090, 0.0127, 0.0735, 0.0468, 0.0065, 0.0065
-1.0000, -1.0000, 0.2714, 0.0000, 0.2092, 0.0000, 0.1991, 1.0000, 0.0068, 0.0061, 0.0739, 0.0415, 0.0066, 0.0066
64.0000, 69.0000, 0.2923, 0.0000, 0.2212, 0.0000, 0.2362, 0.0000, 0.0092, 0.0110, 0.1044, 0.0960, 0.0065, 0.0065
60.0000, 78.0000, 0.2397, 0.0000, 0.2273, 0.0000, 0.1726, 1.0000, 0.0090, 0.0132, 0.0369, 0.0204, 0.0065, 0.0065
61.0000, 68.0000, 0.3061, 0.0000, 0.2307, 0.0000, 0.2344, 0.0000, 0.0090, 0.0109, 0.0485, 0.0562, 0.0066, 0.0066
61.0000, 68.0000, 0.3076, 0.0000, 0.2427, 0.0000, 0.2207, 0.0000, 0.0091, 0.0098, 0.0286, 0.0438, 0.0065, 0.0064
61.0000, 67.0000, 0.3604, 0.0000, 0.2405, 0.0000, 0.2422, 0.0000, 0.0092, 0.0093, 0.0379, 0.0721, 0.0066, 0.0066
-1.0000, -1.0000, 0.2217, 0.0000, 0.2373, 0.0000, 0.1935, 1.0000, 0.0058, 0.0047, 0.0186, 0.0315, 0.0065, 0.0067
71.0000, 61.0000, 0.2817, 0.0000, 0.2127, 0.0000, 0.2406, 0.0000, 0.0079, 0.0040, 0.0389, 0.0633, 0.0065, 0.0065
80.0000, 63.0000, 0.2705, 0.0000, 0.1915, 1.0000, 0.2491, 0.0000, 0.0089, 0.0041, 0.0862, 0.1065, 0.0065, 0.0065
69.0000, 61.0000, 0.2746, 0.0000, 0.2184, 0.0000, 0.2291, 0.0000, 0.0064, 0.0041, 0.0319, 0.0459, 0.0064, 0.0064
72.0000, 62.0000, 0.2683, 0.0000, 0.2057, 0.0000, 0.2503, 0.0000, 0.0087, 0.0041, 0.0829, 0.1030, 0.0066, 0.0066
70.0000, 60.0000, 0.2803, 0.0000, 0.2123, 0.0000, 0.2389, 0.0000, 0.0072, 0.0042, 0.0759, 0.0786, 0.0064, 0.0065
