# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.0178, 1.0000, 0.9230, 0.0000, 1.4196, 0.0000, 0.0069, 0.0098, 0.3033, 0.2404, 0.0051, 0.0038
-1.0000, -1.0000, 0.2930, 0.0000, 0.9508, 0.0000, 1.2505, 0.0000, 0.0038, 0.0070, 0.4107, 0.2153, 0.0039, 0.0038
-1.0000, -1.0000, 0.1357, 1.0000, 1.2702, 0.0000, 1.0096, 0.0000, 0.0074, 0.0078, 0.2519, 0.2743, 0.0039, 0.0039
-1.0000, -1.0000, 0.2549, 0.0000, 0.9070, 0.0000, 1.2937, 0.0000, 0.0052, 0.0086, 0.3529, 0.3506, 0.0039, 0.0038
-1.0000, -1.0000, 0.1428, 1.0000, 1.2106, 0.0000, 0.9902, 0.0000, 0.0070, 0.0070, 0.2558, 0.3128, 0.0038, 0.0038
-1.0000, -1.0000, 0.2912, 0.0000, 1.0872, 0.0000, 1.3342, 0.0000, 0.0044, 0.0052, 0.4930, 0.2319, 0.0040, 0.0037
-1.0000, -1.0000, 0.2623, 0.0000, 1.4420, 0.0000, 1.1166, 0.0000, 0.0032, 0.0045, 0.4316, 0.4013, 0.0039, 0.0039
-1.0000, -1.0000, 0.5305, 0.0000, 1.0666, 0.0000, 0.9451, 0.0000, 0.0037, 0.0055, 0.6390, 0.3229, 0.0037, 0.0038
-1.0000, -1.0000, 0.6479, 0.0000, 1.3603, 0.0000, 1.0193, 0.0000, 0.0032, 0.0049, 0.7276, 0.6228, 0.0038, 0.0038
-1.0000, -1.0000, 0.6310, 0.0000, 1.3491, 0.0000, 0.9999, 0.0000, 0.0033, 0.0046, 0.7221, 0.6760, 0.0038, 0.0040
-1.0000, -1.0000, 0.5707, 0.0000, 1.1118, 0.0000, 1.0120, 0.0000, 0.0035, 0.0044, 0.7022, 0.4499, 0.0039, 0.0040
-1.0000, -1.0000, 0.2849, 0.0000, 1.0959, 0.0000, 1.0781, 0.0000, 0.0038, 0.0048, 0.6953, 0.3925, 0.0037, 0.0039
-1.0000, -1.0000, 0.4783, 0.0000, 1.1119, 0.0000, 1.1337, 0.0000, 0.0039, 0.0058, 0.7410, 0.5514, 0.0038, 0.0038
-1.0000, -1.0000, 0.4713, 0.0000, 1.0963, 0.0000, 1.1389, 0.0000, 0.0041, 0.0052, 0.7454, 0.5646, 0.0038, 0.0038
-1.0000, -1.0000, 0.5989, 0.0000, 0.9674, 0.0000, 1.7159, 0.0000, 0.0030, 0.0114, 0.4571, 0.7253, 0.0038, 0.0038
-1.0000, -1.0000, 0.6136, 0.0000, 0.9251, 0.0000, 1.7761, 0.0000, 0.0030, 0.0119, 0.4456, 0.8143, 0.0038, 0.0038
-1.0000, -1.0000, 0.6067, 0.0000, 0.9435, 0.0000, 1.7455, 0.0000, 0.0030, 0.0114, 0.4578, 0.7463, 0.0038, 0.0038
-1.0000, -1.0000, 0.4161, 0.0000, 1.0136, 0.0000, 1.6292, 0.0000, 0.0030, 0.0098, 0.5321, 0.6479, 0.0039, 0.0039
-1.0000, -1.0000, 0.4085, 0.0000, 1.0539, 0.0000, 1.5694, 0.0000, 0.0031, 0.0089, 0.5346, 0.5958, 0.0038, 0.0038
-1.0000, -1.0000, 0.1247, 1.0000, 1.2596, 0.0000, 1.1080, 0.0000, 0.0047, 0.0064, 0.3802, 0.4752, 0.0038, 0.0038
-1.0000, -1.0000, 0.2006, 0.0000, 1.2590, 0.0000, 1.0491, 0.0000, 0.0047, 0.0062, 0.3670, 0.4271, 0.0038, 0.0038
-1.0000, -1.0000, 0.6852, 0.0000, 1.2027, 0.0000, 1.2723, 0.0000, 0.0030, 0.0091, 0.7036, 0.3954, 0.0039, 0.0039
-1.0000, -1.0000, 0.6868, 0.0000, 1.2136, 0.0000, 1.2819, 0.0000, 0.0030, 0.0093, 0.7212, 0.4141, 0.0038, 0.0037
-1.0000, -1.0000, 0.6902, 0.0000, 0.8900, 0.0000, 0.5075, 0.0000, 0.0030, 0.0092, 0.5663, 0.4281, 0.0039, 0.0037
-1.0000, -1.0000, 0.4826, 0.0000, 1.3627, 0.0000, 1.2772, 0.0000, 0.0038, 0.0069, 0.7521, 0.4605, 0.0039, 0.0037
-1.0000, -1.0000, 0.5257, 0.0000, 1.3158, 0.0000, 1.2861, 0.0000, 0.0034, 0.0078, 0.7548, 0.4334, 0.0039, 0.0038
