# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.5373, 0.0000, 0.7165, 0.0000, 1.7158, 0.0000, 0.0068, 0.0036, 0.2198, 0.6493, 0.0049, 0.0038
-1.0000, -1.0000, 0.4991, 0.0000, 0.5497, 0.0000, 1.7445, 0.0000, 0.0060, 0.0034, 0.2122, 0.6285, 0.0038, 0.0039
-1.0000, -1.0000, 0.4424, 0.0000, 0.2623, 0.0000, 1.7706, 0.0000, 0.0058, 0.0033, 0.2134, 0.2007, 0.0038, 0.0038
-1.0000, -1.0000, 0.5904, 0.0000, 0.2508, 0.0000, 1.8343, 0.0000, 0.0054, 0.0031, 0.2431, 0.3377, 0.0037, 0.0038
-1.0000, -1.0000, 0.5266, 0.0000, 0.3544, 0.0000, 1.8087, 0.0000, 0.0062, 0.0036, 0.2234, 0.3432, 0.0037, 0.0038
-1.0000, -1.0000, 0.3449, 0.0000, 0.6171, 0.0000, 1.8224, 0.0000, 0.0070, 0.0044, 0.2295, 0.2617, 0.0038, 0.0039
-1.0000, -1.0000, 0.3122, 0.0000, 0.4468, 0.0000, 1.8141, 0.0000, 0.0069, 0.0046, 0.2338, 0.3605, 0.0037, 0.0038
-1.0000, -1.0000, 0.6394, 0.0000, 0.7355, 0.0000, 1.1337, 0.0000, 0.0054, 0.0038, 0.3255, 0.4420, 0.0037, 0.0038
-1.0000, -1.0000, 0.3626, 0.0000, 0.6420, 0.0000, 1.1122, 0.0000, 0.0058, 0.0044, 0.1924, 0.3907, 0.0037, 0.0040
-1.0000, -1.0000, 0.3151, 0.0000, 0.5743, 0.0000, 1.0986, 0.0000, 0.0061, 0.0038, 0.1638, 0.3190, 0.0038, 0.0040
-1.0000, -1.0000, 0.4974, 0.0000, 0.3533, 0.0000, 1.2119, 0.0000, 0.0055, 0.0035, 0.2091, 0.3416, 0.0037, 0.0038
-1.0000, -1.0000, 0.3285, 0.0000, 0.6856, 0.0000, 1.0772, 0.0000, 0.0067, 0.0035, 0.1099, 0.3893, 0.0036, 0.0037
-1.0000, -1.0000, 0.2359, 0.0000, 0.8913, 0.0000, 1.0490, 0.0000, 0.0043, 0.0040, 0.0917, 0.3630, 0.0037, 0.0037
-1.0000, -1.0000, 0.1829, 1.0000, 0.1801, 1.0000, 0.0424, 1.0000, 0.0040, 0.0065, 0.5281, 0.4023, 0.0038, 0.0038
-1.0000, -1.0000, 0.7540, 0.0000, 0.9514, 0.0000, 1.5952, 0.0000, 0.0076, 0.0043, 0.2203, 0.6297, 0.0037, 0.0040
