# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.0542, 1.0000, 0.0481, 1.0000, 0.0310, 1.0000, 0.0099, 0.0063, 0.3081, 0.2056, 0.0080, 0.0062
-1.0000, -1.0000, 0.2096, 0.0000, 0.0276, 1.0000, 0.0237, 1.0000, 0.0075, 0.0068, 0.3484, 0.2397, 0.0062, 0.0061
-1.0000, -1.0000, 0.3266, 0.0000, 0.0316, 1.0000, 0.0038, 1.0000, 0.0072, 0.0070, 0.3942, 0.2652, 0.0060, 0.0059
94.0000, -1.0000, 0.1990, 1.0000, 0.0579, 1.0000, 0.0210, 1.0000, 0.0093, 0.0053, 0.1611, 0.1787, 0.0060, 0.0062
-1.0000, -1.0000, 0.2459, 0.0000, 0.0474, 1.0000, 0.0345, 1.0000, 0.0072, 0.0071, 0.2819, 0.2462, 0.0061, 0.0059
-1.0000, -1.0000, 0.1825, 1.0000, 0.0883, 1.0000, 0.0343, 1.0000, 0.0094, 0.0067, 0.1950, 0.2041, 0.0058, 0.0060
-1.0000, -1.0000, 0.2042, 0.0000, 0.0299, 1.0000, 0.0392, 1.0000, 0.0080, 0.0075, 0.1665, 0.2648, 0.0060, 0.0060
-1.0000, -1.0000, 0.1581, 1.0000, 0.0170, 1.0000, 0.0405, 1.0000, 0.0097, 0.0088, 0.1072, 0.2812, 0.0060, 0.0058
-1.0000, -1.0000, 0.2863, 0.0000, 0.0397, 1.0000, 0.0288, 1.0000, 0.0074, 0.0091, 0.0967, 0.2061, 0.0060, 0.0060
79.0000, -1.0000, 0.3411, 0.0000, 0.0126, 1.0000, 0.0475, 1.0000, 0.0087, 0.0073, 0.2029, 0.2458, 0.0060, 0.0059
-1.0000, -1.0000, 0.1792, 1.0000, 0.0369, 1.0000, 0.0194, 1.0000, 0.0091, 0.0084, 0.1212, 0.2530, 0.0060, 0.0058
-1.0000, -1.0000, 0.3386, 0.0000, 0.0190, 1.0000, 0.0094, 1.0000, 0.0077, 0.0070, 0.3124, 0.3050, 0.0061, 0.0060
88.0000, -1.0000, 0.2006, 0.0000, 0.0227, 1.0000, 0.0449, 1.0000, 0.0090, 0.0076, 0.1300, 0.1829, 0.0059, 0.0059
-1.0000, -1.0000, 0.2195, 0.0000, 0.0777, 1.0000, 0.0313, 1.0000, 0.0069, 0.0092, 0.1179, 0.0824, 0.0060, 0.0060
-1.0000, -1.0000, 0.1582, 1.0000, 0.0354, 1.0000, 0.0204, 1.0000, 0.0087, 0.0078, 0.2358, 0.2294, 0.0060, 0.0059
-1.0000, -1.0000, 0.2055, 0.0000, 0.0227, 1.0000, 0.0375, 1.0000, 0.0078, 0.0073, 0.2083, 0.2106, 0.0060, 0.0058
-1.0000, -1.0000, 0.9997, 0.0000, 0.0101, 1.0000, 0.0430, 1.0000, 0.0073, 0.0062, 0.3898, 0.2828, 0.0061, 0.0059
-1.0000, -1.0000, 0.2002, 0.0000, 0.0376, 1.0000, 0.0177, 1.0000, 0.0083, 0.0076, 0.1564, 0.2145, 0.0060, 0.0059
-1.0000, -1.0000, 0.2193, 0.0000, 0.0093, 1.0000, 0.0368, 1.0000, 0.0080, 0.0034, 0.5398, 0.3231, 0.0059, 0.0062
-1.0000, -1.0000, 0.1630, 1.0000, 0.0138, 1.0000, 0.1448, 1.0000, 0.0118, 0.0071, 0.2608, 0.1207, 0.0068, 0.0059
-1.0000, -1.0000, 0.1813, 1.0000, 0.0412, 1.0000, 0.0222, 1.0000, 0.0094, 0.0073, 0.3415, 0.3352, 0.0061, 0.0059
