# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.2078, 0.0000, 0.1859, 1.0000, 0.1787, 1.0000, 0.0090, 0.0077, 0.0361, 0.0916, 0.0082, 0.0068
-1.0000, -1.0000, 0.2064, 0.0000, 0.1377, 1.0000, 0.2029, 0.0000, 0.0081, 0.0075, 0.0751, 0.0538, 0.0068, 0.0068
-1.0000, -1.0000, 0.1889, 1.0000, 0.1187, 1.0000, 0.1813, 1.0000, 0.0082, 0.0078, 0.1263, 0.0947, 0.0068, 0.0076
89.0000, -1.0000, 0.2096, 0.0000, 0.1841, 1.0000, 0.2157, 0.0000, 0.0108, 0.0071, 0.0760, 0.0888, 0.0068, 0.0068
-1.0000, -1.0000, 0.2154, 0.0000, 0.1254, 1.0000, 0.2176, 0.0000, 0.0075, 0.0071, 0.1066, 0.1081, 0.0068, 0.0068
-1.0000, -1.0000, 0.2095, 0.0000, 0.2189, 0.0000, 0.2367, 0.0000, 0.0075, 0.0073, 0.1180, 0.1196, 0.0068, 0.0069
-1.0000, -1.0000, 0.2135, 0.0000, 0.1461, 1.0000, 0.2390, 0.0000, 0.0075, 0.0072, 0.1152, 0.1181, 0.0068, 0.0068
-1.0000, 65.0000, 0.2170, 0.0000, 0.2101, 0.0000, 0.2229, 0.0000, 0.0077, 0.0093, 0.0318, 0.0402, 0.0068, 0.0068
-1.0000, -1.0000, 0.2112, 0.0000, 0.1603, 1.0000, 0.2398, 0.0000, 0.0083, 0.0076, 0.0770, 0.0732, 0.0068, 0.0068
-1.0000, -1.0000, 0.1882, 1.0000, 0.1378, 1.0000, 0.2403, 0.0000, 0.0083, 0.0076, 0.1158, 0.1212, 0.0068, 0.0068
74.0000, 70.0000, 0.2401, 0.0000, 0.1877, 1.0000, 0.2061, 0.0000, 0.0082, 0.0083, 0.0240, 0.0430, 0.0068, 0.0068
-1.0000, -1.0000, 0.2184, 0.0000, 0.1370, 1.0000, 0.2241, 0.0000, 0.0097, 0.0071, 0.0693, 0.0677, 0.0068, 0.0068
70.0000, -1.0000, 0.2094, 0.0000, 0.1980, 1.0000, 0.2088, 0.0000, 0.0079, 0.0065, 0.0613, 0.0758, 0.0068, 0.0068
-1.0000, -1.0000, 0.2152, 0.0000, 0.1746, 1.0000, 0.2227, 0.0000, 0.0101, 0.0068, 0.0686, 0.0629, 0.0068, 0.0068
69.0000, 81.0000, 0.2706, 0.0000, 0.2304, 0.0000, 0.2040, 0.0000, 0.0082, 0.0098, 0.0120, 0.0208, 0.0068, 0.0068
71.0000, -1.0000, 0.3519, 0.0000, 0.1854, 1.0000, 0.2384, 0.0000, 0.0080, 0.0083, 0.0401, 0.0380, 0.0068, 0.0068
-1.0000, -1.0000, 0.3211, 0.0000, 0.1252, 1.0000, 0.2124, 0.0000, 0.0067, 0.0083, 0.1068, 0.0796, 0.0068, 0.0068
83.0000, 85.0000, 0.2349, 0.0000, 0.2088, 0.0000, 0.2385, 0.0000, 0.0078, 0.0074, 0.0428, 0.0556, 0.0068, 0.0069
-1.0000, 78.0000, 0.2134, 0.0000, 0.1831, 1.0000, 0.2001, 0.0000, 0.0082, 0.0083, 0.0982, 0.1082, 0.0068, 0.0068
79.0000, -1.0000, 0.2643, 0.0000, 0.2090, 0.0000, 0.2285, 0.0000, 0.0078, 0.0070, 0.0979, 0.0824, 0.0068, 0.0068
-1.0000, -1.0000, 0.2854, 0.0000, 0.2083, 0.0000, 0.2098, 0.0000, 0.0080, 0.0066, 0.0858, 0.0991, 0.0068, 0.0068
-1.0000, 75.0000, 0.3491, 0.0000, 0.2231, 0.0000, 0.2105, 0.0000, 0.0070, 0.0094, 0.0662, 0.0482, 0.0068, 0.0068
66.0000, 73.0000, 0.3356, 0.0000, 0.2081, 0.0000, 0.2350, 0.0000, 0.0089, 0.0097, 0.0936, 0.0613, 0.0068, 0.0068
-1.0000, 78.0000, 0.3013, 0.0000, 0.1882, 1.0000, 0.2074, 0.0000, 0.0075, 0.0088, 0.1602, 0.1119, 0.0067, 0.0068
-1.0000, 69.0000, 0.2156, 0.0000, 0.2357, 0.0000, 0.2245, 0.0000, 0.0071, 0.0081, 0.0223, 0.0104, 0.0067, 0.0067
-1.0000, -1.0000, 0.2115, 0.0000, 0.1915, 1.0000, 0.2262, 0.0000, 0.0078, 0.0071, 0.0834, 0.0616, 0.0068, 0.0068
-1.0000, 66.0000, 0.2690, 0.0000, 0.2186, 0.0000, 0.2261, 0.0000, 0.0070, 0.0081, 0.0295, 0.0417, 0.0068, 0.0068
78.0000, 77.0000, 0.2061, 0.0000, 0.2044, 0.0000, 0.2371, 0.0000, 0.0078, 0.0075, 0.0567, 0.0656, 0.0068, 0.0068
