# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0090, 0.0076
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0078, 0.0077
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0077, 0.0076
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0077, 0.0076
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0078, 0.0078
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0088, 0.0087
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0099, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0098
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0099, 0.0099
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0100, 0.0100
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0098
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0096
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0099, 0.0098
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0101, 0.0100
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0100, 0.0099
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0107, 0.0106
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0104, 0.0104
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0099, 0.0099
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0099, 0.0099
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0096
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0104, 0.0095
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0096, 0.0096
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0096
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0096
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0096
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0098
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0096
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0102, 0.0102
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0096
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0097, 0.0096
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0098, 0.0097
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0087, 0.0086
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0076, 0.0076
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0076, 0.0075
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0076, 0.0076
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0076, 0.0075
50.0000, 58.0000, 0.3075, 0.0000, 0.3000, 0.0000, 0.2999, 0.0000, 0.0110, 0.0095, 0.0000, 0.0001, 0.0076, 0.0075
