# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
69.0000, 78.0000, 0.3054, 0.0000, 0.2410, 0.0000, 0.2421, 0.0000, 0.0084, 0.0146, 1.4897, 1.5392
