# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
69.0000, -1.0000, 0.2960, 0.0000, 0.2139, 0.0000, 0.2156, 0.0000, 0.0080, 0.0130, 0.0002, 0.0037, 0.0792, 0.1322
-1.0000, -1.0000, 0.2988, 0.0000, 0.2163, 0.0000, 0.2156, 0.0000, 0.0080, 0.0120, 0.0581, 0.0482, 0.0781, 0.0757
-1.0000, -1.0000, 0.3096, 0.0000, 0.2155, 0.0000, 0.2100, 0.0000, 0.0084, 0.0121, 0.0921, 0.0805, 0.1346, 0.1287
69.0000, -1.0000, 0.2808, 0.0000, 0.2152, 0.0000, 0.2133, 0.0000, 0.0081, 0.0142, 0.0478, 0.0476, 0.0762, 0.1258
-1.0000, -1.0000, 0.2651, 0.0000, 0.2144, 0.0000, 0.1391, 1.0000, 0.0080, 0.0135, 0.1091, 0.0954, 0.0768, 0.0802
68.0000, -1.0000, 0.2485, 0.0000, 0.2472, 0.0000, 0.1439, 1.0000, 0.0081, 0.0151, 0.0899, 0.0954, 0.0751, 0.0797
69.0000, -1.0000, 0.2360, 0.0000, 0.2140, 0.0000, 0.1216, 1.0000, 0.0081, 0.0144, 0.1207, 0.1199, 0.0781, 0.0779
61.0000, 67.0000, 0.3143, 0.0000, 0.2151, 0.0000, 0.2129, 0.0000, 0.0091, 0.0139, 0.0513, 0.0546, 0.0784, 0.0864
62.0000, 67.0000, 0.3085, 0.0000, 0.2191, 0.0000, 0.2323, 0.0000, 0.0090, 0.0115, 0.0652, 0.0706, 0.0763, 0.0768
63.0000, 68.0000, 0.3165, 0.0000, 0.2149, 0.0000, 0.2156, 0.0000, 0.0089, 0.0106, 0.1074, 0.1026, 0.0780, 0.0753
61.0000, 67.0000, 0.2945, 0.0000, 0.2163, 0.0000, 0.2088, 0.0000, 0.0091, 0.0147, 0.0061, 0.0078, 0.0756, 0.0890
61.0000, -1.0000, 0.2667, 0.0000, 0.2161, 0.0000, 0.1943, 1.0000, 0.0091, 0.0150, 0.0691, 0.0598, 0.0770, 0.0778
60.0000, 68.0000, 0.2598, 0.0000, 0.2173, 0.0000, 0.1956, 1.0000, 0.0092, 0.0162, 0.0438, 0.0396, 0.0753, 0.0811
60.0000, 68.0000, 0.2477, 0.0000, 0.2170, 0.0000, 0.1277, 1.0000, 0.0092, 0.0141, 0.0782, 0.0719, 0.0777, 0.0786
69.0000, -1.0000, 0.2968, 0.0000, 0.2139, 0.0000, 0.2148, 0.0000, 0.0080, 0.0137, 0.0058, 0.0075, 0.0774, 0.0783
-1.0000, -1.0000, 0.3066, 0.0000, 0.2179, 0.0000, 0.2168, 0.0000, 0.0080, 0.0117, 0.0545, 0.0438, 0.0754, 0.0786
-1.0000, -1.0000, 0.3125, 0.0000, 0.2119, 0.0000, 0.2114, 0.0000, 0.0083, 0.0119, 0.0917, 0.0753, 0.1306, 0.1025
69.0000, -1.0000, 0.2927, 0.0000, 0.2148, 0.0000, 0.2072, 0.0000, 0.0081, 0.0159, 0.0430, 0.0427, 0.0769, 0.0862
-1.0000, -1.0000, 0.2655, 0.0000, 0.2149, 0.0000, 0.1481, 1.0000, 0.0080, 0.0133, 0.1041, 0.0910, 0.0751, 0.0835
68.0000, -1.0000, 0.2511, 0.0000, 0.2434, 0.0000, 0.1448, 1.0000, 0.0081, 0.0155, 0.0863, 0.0919, 0.0770, 0.0811
69.0000, -1.0000, 0.2394, 0.0000, 0.2141, 0.0000, 0.1265, 1.0000, 0.0081, 0.0147, 0.1171, 0.1157, 0.0766, 0.0828
62.0000, 67.0000, 0.3228, 0.0000, 0.2151, 0.0000, 0.2140, 0.0000, 0.0090, 0.0136, 0.0571, 0.0599, 0.0758, 0.0784
62.0000, 67.0000, 0.3132, 0.0000, 0.2157, 0.0000, 0.2245, 0.0000, 0.0090, 0.0120, 0.0717, 0.0736, 0.0777, 0.0747
63.0000, 68.0000, 0.3192, 0.0000, 0.2160, 0.0000, 0.2150, 0.0000, 0.0089, 0.0110, 0.1105, 0.1062, 0.0777, 0.0744
61.0000, 67.0000, 0.3011, 0.0000, 0.2157, 0.0000, 0.2066, 0.0000, 0.0091, 0.0155, 0.0118, 0.0129, 0.0761, 0.0840
61.0000, -1.0000, 0.2776, 0.0000, 0.2156, 0.0000, 0.1933, 1.0000, 0.0091, 0.0150, 0.0672, 0.0580, 0.0768, 0.0829
60.0000, 67.0000, 0.2680, 0.0000, 0.2175, 0.0000, 0.1899, 1.0000, 0.0092, 0.0158, 0.0378, 0.0393, 0.0774, 0.0828
61.0000, 68.0000, 0.2410, 0.0000, 0.2235, 0.0000, 0.1251, 1.0000, 0.0092, 0.0153, 0.0722, 0.0702, 0.0807, 0.0815
61.0000, 66.0000, 0.2956, 0.0000, 0.2139, 0.0000, 0.2137, 0.0000, 0.0042, 0.0142, 0.0002, 0.0047, 0.0806, 0.1400
62.0000, 69.0000, 0.2870, 0.0000, 0.2163, 0.0000, 0.2063, 0.0000, 0.0042, 0.0141, 0.0652, 0.0499, 0.0785, 0.1401
64.0000, -1.0000, 0.2701, 0.0000, 0.2137, 0.0000, 0.1572, 1.0000, 0.0047, 0.0136, 0.1110, 0.0997, 0.1204, 0.1270
61.0000, 67.0000, 0.2798, 0.0000, 0.2153, 0.0000, 0.2064, 0.0000, 0.0042, 0.0159, 0.0417, 0.0356, 0.0762, 0.0880
62.0000, -1.0000, 0.2492, 0.0000, 0.2144, 0.0000, 0.1266, 1.0000, 0.0042, 0.0139, 0.1102, 0.1080, 0.0777, 0.0819
60.0000, 68.0000, 0.2367, 0.0000, 0.2473, 0.0000, 0.1408, 1.0000, 0.0042, 0.0150, 0.0765, 0.0773, 0.0778, 0.0825
61.0000, -1.0000, 0.2292, 0.0000, 0.2140, 0.0000, 0.1255, 1.0000, 0.0042, 0.0146, 0.1112, 0.2971, 0.0776, 0.0869
53.0000, 59.0000, 0.3039, 0.0000, 0.2151, 0.0000, 0.2100, 0.0000, 0.0048, 0.0141, 0.0432, 0.0451, 0.0766, 0.0853
54.0000, 58.0000, 0.2813, 0.0000, 0.2191, 0.0000, 0.2291, 0.0000, 0.0048, 0.0128, 0.0601, 0.0689, 0.0786, 0.0762
55.0000, 61.0000, 0.2849, 0.0000, 0.2150, 0.0000, 0.2085, 0.0000, 0.0047, 0.0140, 0.1091, 0.0955, 0.0757, 0.0811
53.0000, 58.0000, 0.2677, 0.0000, 0.2164, 0.0000, 0.2076, 0.0000, 0.0049, 0.0154, 0.0056, 0.0081, 0.0772, 0.0866
53.0000, 61.0000, 0.2547, 0.0000, 0.2161, 0.0000, 0.1534, 1.0000, 0.0048, 0.0153, 0.0785, 0.0729, 0.0800, 0.0840
52.0000, 58.0000, 0.2489, 0.0000, 0.2172, 0.0000, 0.1603, 1.0000, 0.0049, 0.0154, 0.0371, 0.0365, 0.0788, 0.0858
52.0000, 60.0000, 0.2325, 0.0000, 0.2170, 0.0000, 0.1061, 1.0000, 0.0048, 0.0156, 0.0764, 0.0747, 0.0814, 0.0833
61.0000, 67.0000, 0.3000, 0.0000, 0.2140, 0.0000, 0.2132, 0.0000, 0.0042, 0.0140, 0.0169, 0.0246, 0.0785, 0.1307
62.0000, 67.0000, 0.2922, 0.0000, 0.2280, 0.0000, 0.2181, 0.0000, 0.0041, 0.0118, 0.0550, 0.0550, 0.0775, 0.0781
63.0000, 69.0000, 0.2984, 0.0000, 0.2123, 0.0000, 0.2116, 0.0000, 0.0043, 0.0113, 0.0990, 0.0914, 0.0787, 0.1366
61.0000, 67.0000, 0.2865, 0.0000, 0.2149, 0.0000, 0.2064, 0.0000, 0.0042, 0.0157, 0.0272, 0.0227, 0.0790, 0.0833
62.0000, 69.0000, 0.2586, 0.0000, 0.2160, 0.0000, 0.1506, 1.0000, 0.0042, 0.0135, 0.0962, 0.0877, 0.0770, 0.0811
60.0000, 68.0000, 0.2513, 0.0000, 0.2363, 0.0000, 0.1830, 1.0000, 0.0042, 0.0157, 0.0668, 0.0633, 0.0761, 0.0833
61.0000, 69.0000, 0.2349, 0.0000, 0.2150, 0.0000, 0.1151, 1.0000, 0.0042, 0.0151, 0.1010, 0.0950, 0.0758, 0.0836
54.0000, 61.0000, 0.3335, 0.0000, 0.2134, 0.0000, 0.2102, 0.0000, 0.0055, 0.0140, 0.0604, 0.0742, 0.0772, 0.1344
54.0000, 59.0000, 0.3004, 0.0000, 0.2159, 0.0000, 0.2142, 0.0000, 0.0048, 0.0124, 0.0827, 0.0919, 0.0776, 0.0763
55.0000, 60.0000, 0.2954, 0.0000, 0.2159, 0.0000, 0.2148, 0.0000, 0.0047, 0.0107, 0.1213, 0.1232, 0.0784, 0.0759
53.0000, 58.0000, 0.2901, 0.0000, 0.2150, 0.0000, 0.2101, 0.0000, 0.0048, 0.0140, 0.0213, 0.0312, 0.0762, 0.1120
53.0000, 62.0000, 0.2759, 0.0000, 0.2178, 0.0000, 0.2020, 0.0000, 0.0048, 0.0155, 0.0754, 0.0650, 0.0756, 0.0811
52.0000, 58.0000, 0.2614, 0.0000, 0.2175, 0.0000, 0.1798, 1.0000, 0.0049, 0.0149, 0.0209, 0.0249, 0.0771, 0.0806
53.0000, 60.0000, 0.2474, 0.0000, 0.2364, 0.0000, 0.1650, 1.0000, 0.0049, 0.0153, 0.0590, 0.0564, 0.0757, 0.0865
