# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1629, 0.1568
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1606, 0.1647
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1628, 0.1560
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1552, 0.1585
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1597, 0.1524
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1540, 0.1580
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1624, 0.1546
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1541, 0.1584
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1583, 0.1510
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1526, 0.1565
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1584, 0.1511
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1529, 0.1576
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1580, 0.1521
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1572, 0.1501
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1520, 0.1560
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1577, 0.1500
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1517, 0.1561
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1578, 0.1501
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1522, 0.1567
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1590, 0.1513
51.0000, 61.0000, 0.4251, 0.0000, 0.3000, 0.0000, 0.3000, 0.0000, 0.0109, 0.0093, 0.0000, 0.0000, 0.1521, 0.1565
