# goal_reach_idx0, goal_reach_idx1, min_agent_dist, traj_collision, obs_min_dist_0, obs_collision_0, obs_min_dist_1, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1, avg_compute_0, avg_compute_1
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.3571, 0.4299
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.3386, 0.3804
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2946, 0.3774
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2908, 0.3559
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2723, 0.3463
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2732, 0.3346
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2666, 0.3403
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2701, 0.3338
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2692, 0.3458
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2668, 0.3453
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2708, 0.3332
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2640, 0.3382
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2644, 0.3314
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2655, 0.3398
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2649, 0.3398
-1.0000, -1.0000, 0.2019, 0.0000, 0.2000, 0.0000, 0.2000, 0.0000, 0.0066, 0.0066, 0.1651, 0.1756, 0.2688, 0.3316
