# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
0.3000, 0.3000, 0.2000, 0.6500, 78.0000, 93.0000, 0.0000, 0.0000, 1.0000, 0.0079, 0.0145, 2.1489, 3.3341
0.7000, 0.6000, 0.5000, 1.1000, 78.0000, 95.0000, 0.0000, 0.0000, 1.0000, 0.0071, 0.0145, 2.5269, 2.7015
