# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.3000, 0.3000, 0.1000, 1.0000, 69.0000, 78.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0147, 1.4597, 1.6416
0.2000, 0.2000, 0.1000, 0.8000, 70.0000, 88.0000, 0.0000, 0.0000, 1.0000, 0.0098, 0.0170, 1.2401, 2.4969
0.3000, 0.4000, 0.1000, 1.0000, 69.0000, 79.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0147, 1.8388, 1.9332
0.2000, 0.3000, 0.1000, 0.8000, 69.0000, 85.0000, 0.0000, 0.0000, 1.0000, 0.0082, 0.0166, 1.4477, 2.3884
0.3000, 0.5000, 0.1000, 1.0000, 69.0000, 79.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0147, 1.9318, 1.9624
0.2000, 0.4000, 0.1000, 0.8000, 69.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0167, 1.8412, 2.7821
0.2000, 0.5000, 0.1000, 0.8000, 69.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0162, 1.9347, 2.6734
0.4000, 0.2000, 0.1000, 1.0000, 70.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0098, 0.0155, 1.2380, 1.3968
0.3000, 0.2000, 0.1000, 0.8000, 70.0000, 85.0000, 0.0000, 0.0000, 1.0000, 0.0098, 0.0169, 1.2398, 2.3649
0.4000, 0.3000, 0.1000, 1.0000, 69.0000, 83.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0159, 1.4593, 1.8396
0.4000, 0.4000, 0.1000, 1.0000, 69.0000, 78.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0146, 1.8384, 1.8072
0.3000, 0.3000, 0.1000, 0.8000, 69.0000, 84.0000, 0.0000, 0.0000, 1.0000, 0.0082, 0.0166, 1.4423, 2.1577
0.4000, 0.5000, 0.1000, 1.0000, 69.0000, 78.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0146, 1.9314, 1.8374
0.3000, 0.4000, 0.1000, 0.8000, 69.0000, 83.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0166, 1.8409, 2.2253
0.5000, 0.2000, 0.1000, 1.0000, 70.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0098, 0.0161, 1.2384, 1.3383
0.3000, 0.5000, 0.1000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0167, 1.9357, 2.0291
0.4000, 0.2000, 0.1000, 0.8000, 70.0000, 84.0000, 0.0000, 0.0000, 1.0000, 0.0098, 0.0169, 1.2397, 2.6731
0.5000, 0.3000, 0.1000, 1.0000, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0157, 1.4576, 1.6651
0.4000, 0.3000, 0.1000, 0.8000, 69.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0083, 0.0162, 1.4555, 2.6014
0.5000, 0.4000, 0.1000, 1.0000, 69.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0157, 1.8401, 1.8019
0.4000, 0.4000, 0.1000, 0.8000, 69.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0161, 1.8407, 2.9621
0.5000, 0.5000, 0.1000, 1.0000, 69.0000, 78.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0145, 1.9329, 1.9810
0.4000, 0.5000, 0.1000, 0.8000, 69.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0165, 1.9355, 1.9505
0.6000, 0.2000, 0.1000, 1.0000, 70.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0098, 0.0158, 1.2384, 1.4607
0.5000, 0.2000, 0.1000, 0.8000, 70.0000, 84.0000, 0.0000, 0.0000, 1.0000, 0.0098, 0.0169, 1.2397, 2.4404
0.6000, 0.3000, 0.1000, 1.0000, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0161, 1.4589, 1.6312
0.5000, 0.3000, 0.1000, 0.8000, 69.0000, 85.0000, 0.0000, 0.0000, 1.0000, 0.0082, 0.0165, 1.4510, 2.0337
0.6000, 0.4000, 0.1000, 1.0000, 69.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0156, 1.8776, 1.7588
0.5000, 0.4000, 0.1000, 0.8000, 69.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0163, 1.8406, 2.9492
0.6000, 0.5000, 0.1000, 1.0000, 69.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0166, 1.9302, 1.8914
0.5000, 0.5000, 0.1000, 0.8000, 69.0000, 80.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0162, 1.9354, 2.0646
0.2000, 0.2000, 0.2000, 1.0000, 70.0000, 83.0000, 0.0000, 0.0000, 0.0000, 0.0097, 0.0163, 1.1504, 1.6575
0.6000, 0.2000, 0.1000, 0.8000, 70.0000, 84.0000, 0.0000, 0.0000, 1.0000, 0.0098, 0.0167, 1.2397, 2.3384
0.2000, 0.3000, 0.2000, 1.0000, 69.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0082, 0.0170, 1.4775, 1.7209
0.6000, 0.3000, 0.1000, 0.8000, 69.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0082, 0.0161, 1.4460, 2.3785
0.2000, 0.4000, 0.2000, 1.0000, 69.0000, 84.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0166, 1.8989, 1.9554
0.6000, 0.4000, 0.1000, 0.8000, 69.0000, 81.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0164, 1.8405, 2.8449
0.2000, 0.5000, 0.2000, 1.0000, 69.0000, 86.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0171, 1.9837, 1.9758
0.6000, 0.5000, 0.1000, 0.8000, 69.0000, 79.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0160, 1.9354, 2.0002
0.3000, 0.2000, 0.2000, 1.0000, 70.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0097, 0.0160, 1.1627, 1.4797
0.2000, 0.2000, 0.2000, 0.8000, 70.0000, 90.0000, 0.0000, 0.0000, 1.0000, 0.0102, 0.0167, 1.3015, 2.1250
0.3000, 0.3000, 0.2000, 1.0000, 69.0000, 78.0000, 0.0000, 0.0000, 0.0000, 0.0082, 0.0151, 1.4743, 1.5986
0.2000, 0.3000, 0.2000, 0.8000, 69.0000, 85.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0171, 1.5092, 2.3739
0.3000, 0.4000, 0.2000, 1.0000, 69.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0167, 1.8956, 1.8466
0.2000, 0.4000, 0.2000, 0.8000, 69.0000, 87.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0172, 1.8943, 2.1484
0.3000, 0.5000, 0.2000, 1.0000, 69.0000, 79.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0152, 1.9808, 1.9555
0.2000, 0.5000, 0.2000, 0.8000, 69.0000, 83.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0169, 1.9771, 2.7094
0.4000, 0.2000, 0.2000, 1.0000, 70.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0097, 0.0163, 1.1705, 1.5331
0.3000, 0.2000, 0.2000, 0.8000, 70.0000, 84.0000, 0.0000, 0.0000, 0.0000, 0.0102, 0.0170, 1.3098, 1.6790
0.4000, 0.3000, 0.2000, 1.0000, 69.0000, 79.0000, 0.0000, 0.0000, 0.0000, 0.0083, 0.0161, 1.4836, 1.5777
0.3000, 0.3000, 0.2000, 0.8000, 69.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0168, 1.5055, 2.5697
0.4000, 0.4000, 0.2000, 1.0000, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0167, 1.8941, 1.8004
0.3000, 0.4000, 0.2000, 0.8000, 69.0000, 83.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0170, 1.8898, 2.2742
0.4000, 0.5000, 0.2000, 1.0000, 69.0000, 78.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0149, 1.9793, 1.7686
0.3000, 0.5000, 0.2000, 0.8000, 69.0000, 83.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0169, 1.9752, 2.3112
0.5000, 0.2000, 0.2000, 1.0000, 70.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0097, 0.0161, 1.1748, 1.3945
0.4000, 0.2000, 0.2000, 0.8000, 70.0000, 84.0000, 0.0000, 0.0000, 0.0000, 0.0102, 0.0171, 1.3107, 1.6834
0.5000, 0.3000, 0.2000, 1.0000, 69.0000, 81.0000, 0.0000, 0.0000, 0.0000, 0.0083, 0.0163, 1.4829, 1.6618
0.4000, 0.3000, 0.2000, 0.8000, 69.0000, 83.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0170, 1.5037, 1.9901
0.5000, 0.4000, 0.2000, 1.0000, 69.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0080, 0.0160, 1.8932, 1.7846
0.4000, 0.4000, 0.2000, 0.8000, 69.0000, 82.0000, 0.0000, 0.0000, 1.0000, 0.0080, 0.0167, 1.8892, 2.1407
